Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"11169616022, 10672598289, 11304463470, 11169616069, 9076608902, 10763697408, 6308159165, 2216518883, 10844090935, 10844090706",130110,0.009,0.0,1.0,0
Simulated Annealing,"11169616022, 11304463470, 11169616069, 10672598289, 10844090935, 10763697408, 2216518883, 10844090706, 6308159165, 9076608902",110330,0.009,19.8,0.30000000000000004,1
Simulated Annealing,"10672598289, 2216518883, 11169616022, 9076608902, 11304463470, 11169616069, 10844090706, 10763697408, 10844090935, 6308159165",93734,0.009,36.4,0.30000000000000004,2
Simulated Annealing,"11304463470, 6308159165, 10763697408, 10672598289, 10844090706, 9076608902, 11169616069, 10844090935, 2216518883, 11169616022",98432,0.009,31.7,0.7,3
Simulated Annealing,"10672598289, 10844090935, 11169616022, 10844090706, 11169616069, 6308159165, 9076608902, 11304463470, 10763697408, 2216518883",112964,0.009,17.1,0.8,4
Simulated Annealing,"2216518883, 10672598289, 11169616022, 9076608902, 6308159165, 10844090935, 10763697408, 11169616069, 10844090706, 11304463470",109232,0.009,20.9,0.19999999999999996,5
Simulated Annealing,"10763697408, 6308159165, 10844090706, 11169616069, 9076608902, 10844090935, 11304463470, 10672598289, 11169616022, 2216518883",100704,0.009,29.4,0.7,6
Simulated Annealing,"10844090935, 2216518883, 11169616022, 6308159165, 10763697408, 11304463470, 11169616069, 10844090706, 10672598289, 9076608902",88410,0.009,41.7,0.5,7
Simulated Annealing,"9076608902, 6308159165, 10844090935, 10844090706, 11169616069, 11169616022, 2216518883, 11304463470, 10763697408, 10672598289",120373,0.009,9.7,0.9,8
Simulated Annealing,"6308159165, 11304463470, 2216518883, 10672598289, 11169616022, 10763697408, 10844090706, 9076608902, 11169616069, 10844090935",132265,0.009,-2.2,0.8,9
Genetic Algorithm,"11304463470, 11169616022, 9076608902, 10844090935, 2216518883, 10844090706, 10672598289, 6308159165, 10763697408, 11169616069",66063,0.036,64.0,0.9,0
Genetic Algorithm,"11304463470, 2216518883, 10844090935, 9076608902, 11169616022, 10844090706, 10672598289, 10763697408, 6308159165, 11169616069",68057,0.037,62.1,0.9,1
