Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Genetic Algorithm,"11304463470, 6308159165, 10763697408, 11169616069, 10672598289, 10844090706, 10844090935, 11169616022, 9076608902, 2216518883",70669,0.037,59.4,0.9,2
Genetic Algorithm,"11304463470, 11169616022, 9076608902, 10844090935, 2216518883, 10844090706, 10672598289, 11169616069, 6308159165, 10763697408",69500,0.037,60.6,0.9,3
Genetic Algorithm,"11304463470, 10844090935, 11169616022, 9076608902, 2216518883, 11169616069, 6308159165, 10763697408, 10672598289, 10844090706",69615,0.036,60.5,0.8,4
Genetic Algorithm,"11304463470, 10672598289, 10844090706, 10763697408, 6308159165, 11169616069, 10844090935, 11169616022, 9076608902, 2216518883",71424,0.036,58.7,0.19999999999999996,5
Genetic Algorithm,"11304463470, 10844090935, 11169616022, 9076608902, 2216518883, 10763697408, 6308159165, 11169616069, 10672598289, 10844090706",70957,0.036,59.2,0.7,6
Genetic Algorithm,"11304463470, 2216518883, 10844090935, 11169616069, 10763697408, 6308159165, 10844090706, 10672598289, 9076608902, 11169616022",81181,0.036,48.9,0.8,7
Genetic Algorithm,"11304463470, 10844090706, 10672598289, 11169616069, 6308159165, 10763697408, 10844090935, 11169616022, 9076608902, 2216518883",71307,0.036,58.8,0.8,8
Genetic Algorithm,"11304463470, 10844090935, 11169616022, 9076608902, 2216518883, 10844090706, 10672598289, 11169616069, 6308159165, 10763697408",72409,0.036,57.7,0.9,9
Genetic Algorithm Adaptive Crossover,"10844090706, 10672598289, 10763697408, 6308159165, 11169616069, 2216518883, 11304463470, 11169616022, 9076608902, 10844090935",70347,0.108,59.8,0.8,0
Genetic Algorithm Adaptive Crossover,"11304463470, 2216518883, 10844090935, 11169616022, 9076608902, 10844090706, 10672598289, 6308159165, 10763697408, 11169616069",67145,0.102,63.0,0.9,1
Genetic Algorithm Adaptive Crossover,"10844090935, 11304463470, 11169616069, 6308159165, 10763697408, 10672598289, 10844090706, 2216518883, 9076608902, 11169616022",70224,0.101,59.9,0.7,2
Genetic Algorithm Adaptive Crossover,"10844090935, 2216518883, 10844090706, 10672598289, 10763697408, 6308159165, 11169616069, 11304463470, 11169616022, 9076608902",67315,0.103,62.8,0.6,3
Genetic Algorithm Adaptive Crossover,"10844090706, 10672598289, 11169616069, 6308159165, 10763697408, 11169616022, 9076608902, 10844090935, 2216518883, 11304463470",69507,0.119,60.6,0.7,4
Genetic Algorithm Adaptive Crossover,"11304463470, 11169616069, 6308159165, 10763697408, 10672598289, 10844090706, 2216518883, 9076608902, 11169616022, 10844090935",70224,0.12,59.9,0.8,5
Genetic Algorithm Adaptive Crossover,"11304463470, 10763697408, 6308159165, 11169616069, 10672598289, 10844090706, 2216518883, 10844090935, 9076608902, 11169616022",69500,0.122,60.6,0.19999999999999996,6
Genetic Algorithm Adaptive Crossover,"2216518883, 10844090935, 11169616022, 9076608902, 11304463470, 6308159165, 10763697408, 11169616069, 10672598289, 10844090706",67188,0.122,62.9,0.7,7
Genetic Algorithm Adaptive Crossover,"11169616022, 9076608902, 10844090935, 2216518883, 11304463470, 10844090706, 10672598289, 10763697408, 6308159165, 11169616069",68057,0.126,62.1,0.19999999999999996,8
Genetic Algorithm Adaptive Crossover,"11304463470, 2216518883, 10844090935, 9076608902, 11169616022, 11169616069, 10763697408, 6308159165, 10844090706, 10672598289",69738,0.126,60.4,0.9,9
Irgibnnm Genetic Algorithm,"10844090706, 10672598289, 10763697408, 6308159165, 11169616069, 11304463470, 2216518883, 10844090935, 11169616022, 9076608902",68397,0.048,61.7,0.7,0
Irgibnnm Genetic Algorithm,"9076608902, 11169616022, 10844090935, 11304463470, 2216518883, 6308159165, 10763697408, 11169616069, 10672598289, 10844090706",69615,0.049,60.5,0.6,1
Irgibnnm Genetic Algorithm,"10844090935, 11169616022, 9076608902, 2216518883, 11304463470, 10844090706, 10672598289, 11169616069, 10763697408, 6308159165",68552,0.049,61.6,0.9,2
Irgibnnm Genetic Algorithm,"10844090935, 11169616022, 9076608902, 2216518883, 11304463470, 11169616069, 10763697408, 6308159165, 10672598289, 10844090706",69406,0.049,60.7,0.4,3
Irgibnnm Genetic Algorithm,"9076608902, 11169616022, 10844090935, 2216518883, 11304463470, 11169616069, 6308159165, 10763697408, 10672598289, 10844090706",68397,0.049,61.7,0.30000000000000004,4
Irgibnnm Genetic Algorithm,"9076608902, 11169616022, 10844090935, 2216518883, 11304463470, 11169616069, 10763697408, 6308159165, 10672598289, 10844090706",67145,0.049,63.0,0.4,5
Irgibnnm Genetic Algorithm,"10844090935, 11169616022, 9076608902, 2216518883, 11304463470, 10844090706, 10672598289, 11169616069, 10763697408, 6308159165",68552,0.048,61.6,0.9,6
Irgibnnm Genetic Algorithm,"10844090935, 11169616022, 9076608902, 2216518883, 11304463470, 11169616069, 10763697408, 6308159165, 10672598289, 10844090706",69406,0.049,60.7,0.4,7
Irgibnnm Genetic Algorithm,"9076608902, 11169616022, 11304463470, 10844090935, 2216518883, 10672598289, 10844090706, 11169616069, 10763697408, 6308159165",78949,0.049,51.2,0.9,8
Irgibnnm Genetic Algorithm,"9076608902, 11169616022, 10844090935, 2216518883, 11304463470, 11169616069, 10763697408, 6308159165, 10672598289, 10844090706",67145,0.047,63.0,0.4,9
