Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"9076606080, 9076611170, 9866076560, 10844090832, 11169615733, 9076608910, 9076605976, 11409872026, 11304463364, 9076608487, 8917663690, 9866076595, 10844090764, 11001213138, 11169615917",160252,0.012,0.0,1.0,0
Simulated Annealing,"9076606080, 9076608487, 11304463364, 11169615733, 10844090832, 11409872026, 9076608910, 9076611170, 9866076595, 9076605976, 11169615917, 11001213138, 10844090764, 8917663690, 9866076560",224893,0.012,-64.6,0.19999999999999996,1
Simulated Annealing,"9076608910, 9076605976, 11169615917, 9076606080, 11001213138, 11304463364, 10844090832, 9866076560, 9076608487, 9076611170, 11409872026, 10844090764, 11169615733, 8917663690, 9866076595",224495,0.012,-64.2,0.8666666666666667,2
Simulated Annealing,"11409872026, 9076605976, 11169615733, 9076611170, 11304463364, 8917663690, 9076608487, 11001213138, 9076608910, 10844090832, 9866076560, 9076606080, 10844090764, 9866076595, 11169615917",210570,0.012,-50.3,0.8666666666666667,3
Simulated Annealing,"9866076560, 10844090832, 10844090764, 9076611170, 11169615733, 8917663690, 11304463364, 9076606080, 11001213138, 11409872026, 9076605976, 9076608910, 9076608487, 11169615917, 9866076595",206586,0.012,-46.3,0.8,4
Simulated Annealing,"9076608487, 9076605976, 8917663690, 9076608910, 10844090832, 11169615917, 11001213138, 11409872026, 9076606080, 9866076595, 10844090764, 9076611170, 9866076560, 11304463364, 11169615733",196131,0.012,-35.9,0.8666666666666667,5
Simulated Annealing,"9076611170, 10844090764, 9866076560, 8917663690, 11169615733, 9076608487, 11169615917, 11001213138, 10844090832, 9076608910, 11409872026, 9866076595, 9076606080, 11304463364, 9076605976",227573,0.012,-67.3,0.8,6
Simulated Annealing,"9866076560, 10844090764, 9076605976, 11304463364, 9076611170, 11001213138, 9076606080, 9076608487, 11169615917, 9076608910, 8917663690, 11169615733, 11409872026, 9866076595, 10844090832",232728,0.012,-72.5,0.9333333333333333,7
Simulated Annealing,"8917663690, 11304463364, 9076611170, 9866076595, 9866076560, 11169615733, 9076606080, 11409872026, 10844090764, 10844090832, 9076605976, 11169615917, 9076608910, 11001213138, 9076608487",231223,0.012,-71.0,0.19999999999999996,8
Simulated Annealing,"11001213138, 11169615917, 10844090764, 9076608487, 11409872026, 9076608910, 9866076560, 9076606080, 11169615733, 8917663690, 9076611170, 11304463364, 9866076595, 9076605976, 10844090832",214863,0.012,-54.6,0.9333333333333333,9
Genetic Algorithm,"8917663690, 9076608487, 9076605976, 9076608910, 11304463364, 9866076595, 11001213138, 11409872026, 11169615733, 10844090832, 9076606080, 11169615917, 10844090764, 9076611170, 9866076560",107312,0.044,52.9,0.8666666666666667,0
