Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Genetic Algorithm,"8917663690, 11169615733, 9076606080, 10844090832, 9866076560, 9076611170, 10844090764, 11169615917, 9076605976, 11304463364, 9076608910, 9076608487, 11409872026, 11001213138, 9866076595",152226,0.042,8.0,0.19999999999999996,1
Genetic Algorithm,"8917663690, 11304463364, 9866076595, 11001213138, 11409872026, 9076606080, 11169615733, 10844090832, 9866076560, 10844090764, 11169615917, 9076611170, 9076608910, 9076608487, 9076605976",124751,0.043,35.5,0.8666666666666667,2
Genetic Algorithm,"8917663690, 9866076595, 11304463364, 9076608910, 9076608487, 11001213138, 11409872026, 10844090832, 11169615733, 9076611170, 9866076560, 11169615917, 10844090764, 9076606080, 9076605976",139727,0.042,20.5,0.8,3
Genetic Algorithm,"8917663690, 9076605976, 9076608487, 11304463364, 9076608910, 9866076595, 11001213138, 10844090832, 11169615733, 9076606080, 11169615917, 10844090764, 9866076560, 9076611170, 11409872026",93199,0.044,67.1,0.8666666666666667,4
Genetic Algorithm,"8917663690, 11409872026, 10844090764, 9076605976, 9076608487, 9076608910, 11304463364, 11169615733, 10844090832, 9076606080, 9076611170, 9866076560, 11169615917, 11001213138, 9866076595",145053,0.044,15.2,0.8666666666666667,5
Genetic Algorithm,"8917663690, 11409872026, 9866076560, 9076611170, 11169615917, 10844090764, 11169615733, 10844090832, 9076606080, 11001213138, 9866076595, 9076608487, 9076608910, 11304463364, 9076605976",115462,0.044,44.8,0.06666666666666665,6
Genetic Algorithm,"8917663690, 9866076595, 11001213138, 11304463364, 9076608910, 9076605976, 9076608487, 11409872026, 9076611170, 9866076560, 11169615733, 10844090832, 9076606080, 11169615917, 10844090764",123507,0.042,36.7,0.7333333333333333,7
Genetic Algorithm,"8917663690, 9076606080, 11169615733, 10844090832, 9866076595, 11001213138, 9076611170, 9866076560, 10844090764, 11169615917, 11409872026, 11304463364, 9076608910, 9076605976, 9076608487",110797,0.063,49.5,0.06666666666666665,8
Genetic Algorithm,"8917663690, 9076608487, 9076605976, 11304463364, 9076608910, 9866076595, 11001213138, 9076611170, 9866076560, 10844090764, 11169615917, 9076606080, 11169615733, 10844090832, 11409872026",101326,0.042,58.9,0.9333333333333333,9
Genetic Algorithm Adaptive Crossover,"9076605976, 9076608487, 9076608910, 11304463364, 11001213138, 9866076560, 9076611170, 10844090764, 11169615917, 10844090832, 11169615733, 9076606080, 11409872026, 9866076595, 8917663690",122443,0.123,37.8,0.9333333333333333,0
Genetic Algorithm Adaptive Crossover,"11169615733, 10844090832, 11001213138, 9866076595, 11304463364, 9076608910, 9076605976, 9076608487, 8917663690, 11169615917, 10844090764, 9076611170, 9866076560, 11409872026, 9076606080",107872,0.112,52.4,0.8,1
Genetic Algorithm Adaptive Crossover,"9866076560, 9076611170, 9076608910, 11304463364, 11001213138, 9866076595, 9076605976, 9076608487, 8917663690, 9076606080, 11169615733, 10844090832, 11409872026, 10844090764, 11169615917",135164,0.102,25.1,0.19999999999999996,2
Genetic Algorithm Adaptive Crossover,"9076605976, 9076608487, 11304463364, 11001213138, 9866076595, 9866076560, 9076611170, 11409872026, 9076606080, 10844090832, 11169615733, 11169615917, 10844090764, 8917663690, 9076608910",128411,0.122,31.8,0.8666666666666667,3
Genetic Algorithm Adaptive Crossover,"9076611170, 11169615917, 10844090764, 11409872026, 9866076595, 8917663690, 11304463364, 9076608910, 9076608487, 9076605976, 11001213138, 9076606080, 11169615733, 10844090832, 9866076560",125546,0.122,34.7,0.6666666666666666,4
Genetic Algorithm Adaptive Crossover,"9076608487, 9076605976, 8917663690, 9076606080, 10844090764, 11169615917, 9076611170, 9866076560, 10844090832, 11169615733, 11409872026, 11001213138, 9866076595, 9076608910, 11304463364",113286,0.125,47.0,0.1333333333333333,5
Genetic Algorithm Adaptive Crossover,"8917663690, 9076605976, 9076608487, 11304463364, 9076608910, 9076606080, 11169615733, 10844090832, 11409872026, 10844090764, 11169615917, 9866076560, 9076611170, 11001213138, 9866076595",125558,0.126,34.7,0.8666666666666667,6
Genetic Algorithm Adaptive Crossover,"9866076560, 9076611170, 11169615917, 10844090764, 11001213138, 9866076595, 9076608487, 9076605976, 9076608910, 11304463364, 8917663690, 11409872026, 11169615733, 10844090832, 9076606080",110009,0.136,50.2,0.8,7
Genetic Algorithm Adaptive Crossover,"9076608910, 11304463364, 9076605976, 8917663690, 9866076595, 11001213138, 9076608487, 9076606080, 10844090832, 11169615733, 9866076560, 11169615917, 10844090764, 9076611170, 11409872026",136768,0.135,23.5,0.8666666666666667,8
Genetic Algorithm Adaptive Crossover,"9076606080, 9866076560, 9076611170, 10844090764, 11169615917, 11409872026, 11001213138, 9076605976, 11304463364, 9076608910, 9866076595, 8917663690, 9076608487, 11169615733, 10844090832",128831,0.125,31.4,0.19999999999999996,9
Irgibnnm Genetic Algorithm,"9076608487, 9076608910, 8917663690, 9866076560, 9076611170, 10844090764, 11169615917, 11409872026, 10844090832, 11169615733, 9076606080, 11001213138, 9866076595, 9076605976, 11304463364",130215,0.054,30.0,0.9333333333333333,0
Irgibnnm Genetic Algorithm,"9076611170, 9866076560, 10844090764, 11169615917, 11409872026, 9076606080, 10844090832, 11169615733, 8917663690, 9076608910, 11304463364, 9076605976, 9076608487, 11001213138, 9866076595",121736,0.054,38.5,0.8666666666666667,1
Irgibnnm Genetic Algorithm,"8917663690, 11304463364, 9076608910, 9076605976, 9076608487, 11001213138, 9866076595, 11409872026, 9866076560, 9076611170, 10844090832, 11169615733, 9076606080, 11169615917, 10844090764",120916,0.053,39.3,0.9333333333333333,2
Irgibnnm Genetic Algorithm,"9076605976, 9076608487, 9076608910, 11304463364, 8917663690, 9866076595, 11001213138, 11409872026, 9076611170, 9866076560, 11169615917, 10844090764, 9076606080, 10844090832, 11169615733",110758,0.053,49.5,0.8666666666666667,3
Irgibnnm Genetic Algorithm,"10844090832, 11169615733, 9076606080, 11409872026, 11169615917, 10844090764, 9866076560, 9076611170, 8917663690, 9076605976, 9076608487, 11001213138, 9866076595, 9076608910, 11304463364",130535,0.052,29.7,0.06666666666666665,4
Irgibnnm Genetic Algorithm,"8917663690, 9076608487, 9076605976, 9076608910, 11304463364, 9866076595, 11001213138, 9076606080, 10844090832, 11169615733, 10844090764, 11169615917, 9076611170, 9866076560, 11409872026",104876,0.053,55.4,0.9333333333333333,5
Irgibnnm Genetic Algorithm,"9076608487, 9076608910, 9076605976, 11304463364, 9866076595, 11001213138, 8917663690, 11409872026, 9076606080, 10844090832, 11169615733, 9076611170, 9866076560, 10844090764, 11169615917",130320,0.054,29.9,0.8,6
Irgibnnm Genetic Algorithm,"8917663690, 10844090764, 11169615917, 9076611170, 9866076560, 9076606080, 10844090832, 11169615733, 11409872026, 9866076595, 11001213138, 9076608910, 9076605976, 9076608487, 11304463364",118542,0.057,41.7,0.1333333333333333,7
Irgibnnm Genetic Algorithm,"9076608487, 11304463364, 9076608910, 9076605976, 8917663690, 9866076595, 11001213138, 9076606080, 11409872026, 9866076560, 9076611170, 10844090764, 11169615917, 11169615733, 10844090832",126246,0.056,34.0,0.9333333333333333,8
Irgibnnm Genetic Algorithm,"11169615733, 10844090832, 9076606080, 9866076595, 11001213138, 9076608910, 11304463364, 9076605976, 9076608487, 8917663690, 11409872026, 9866076560, 9076611170, 11169615917, 10844090764",106628,0.055,53.6,0.7333333333333333,9
