Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Genetic Algorithm,"9076608722, 11169616116, 9866076595, 10669991075, 11169615865, 11169615827, 9076609981, 11169615835, 9866076555, 10045188259, 9076609689, 9866112841, 11304463380, 9076608692, 11304463487, 5597523695, 4801248411, 9076609001, 10137968397, 2216438315, 9428113881, 10045188272, 11304463490, 11081597490, 11304463469, 11169615651, 4517103692, 10844466800, 9076613504, 11169615942",299098,0.058,159.9,0.06666666666666665,0
Genetic Algorithm,"9076608722, 9866076555, 9428113881, 10045188272, 11304463490, 9076609001, 11304463469, 10137968397, 4517103692, 11169615651, 9866076595, 11169616116, 4801248411, 5597523695, 11169615942, 11304463487, 9076613504, 10844466800, 11081597490, 2216438315, 10669991075, 10045188259, 9866112841, 9076608692, 9076609689, 11169615835, 11169615865, 11169615827, 9076609981, 11304463380",269296,0.06,189.7,0.9,1
Genetic Algorithm,"9076608722, 11169615827, 9866076555, 11169615865, 10844466800, 10045188259, 9866076595, 11169616116, 9076613504, 2216438315, 9428113881, 11169615651, 4517103692, 11304463469, 9076609001, 10137968397, 11304463490, 10045188272, 11081597490, 4801248411, 5597523695, 11169615942, 9076609981, 11304463380, 11169615835, 11304463487, 10669991075, 9076608692, 9076609689, 9866112841",271171,0.056,187.8,0.9333333333333333,2
Genetic Algorithm,"9076608722, 9866076555, 9866112841, 9076608692, 9076609689, 10045188259, 10669991075, 11169615827, 11169615835, 11169616116, 9866076595, 11081597490, 5597523695, 2216438315, 4801248411, 10045188272, 11304463490, 10137968397, 9428113881, 11169615651, 4517103692, 9076609001, 11304463469, 9076613504, 10844466800, 11169615942, 11304463487, 11169615865, 9076609981, 11304463380",277153,0.057,181.8,0.06666666666666665,3
Genetic Algorithm,"9076608722, 10669991075, 9866076595, 10045188259, 11169616116, 9076613504, 11304463490, 10045188272, 9076609001, 11169615651, 11304463469, 4517103692, 4801248411, 10137968397, 9428113881, 5597523695, 11081597490, 2216438315, 9076608692, 9076609689, 11169615942, 10844466800, 11304463487, 11169615865, 11169615835, 11304463380, 9076609981, 11169615827, 9866076555, 9866112841",253406,0.056,205.5,0.8666666666666667,4
Genetic Algorithm,"9076608722, 10045188259, 10669991075, 9076609689, 9076608692, 11304463487, 9866076555, 11304463380, 11169615827, 11169616116, 9866112841, 11169615942, 9866076595, 9076613504, 11081597490, 2216438315, 10137968397, 10045188272, 11304463490, 11304463469, 4517103692, 11169615651, 5597523695, 9428113881, 9076609001, 4801248411, 10844466800, 9076609981, 11169615865, 11169615835",312221,0.056,146.7,0.06666666666666665,5
Genetic Algorithm,"9076608722, 11304463380, 11169615865, 11169615835, 9866112841, 11169615827, 9076609981, 9866076555, 9076608692, 9076609689, 11304463487, 10045188259, 9866076595, 11169616116, 10669991075, 2216438315, 10137968397, 9076609001, 4517103692, 11169615651, 11304463469, 10045188272, 11304463490, 9428113881, 11169615942, 9076613504, 11081597490, 5597523695, 4801248411, 10844466800",241886,0.056,217.1,0.9333333333333333,6
Genetic Algorithm,"9076608722, 11169615827, 11169615835, 11169615865, 4801248411, 10137968397, 11169615651, 4517103692, 9076609001, 2216438315, 5597523695, 11081597490, 9076613504, 11304463487, 9428113881, 10844466800, 11304463469, 10045188272, 11304463490, 10669991075, 10045188259, 9866076595, 11169616116, 11169615942, 9866112841, 9076609689, 9076608692, 9076609981, 11304463380, 9866076555",257742,0.058,201.2,0.8333333333333334,7
Genetic Algorithm,"9076608722, 11304463487, 4517103692, 11304463469, 4801248411, 5597523695, 9428113881, 10844466800, 9076613504, 11169615651, 10137968397, 9076609001, 11304463490, 10045188272, 2216438315, 11081597490, 11169616116, 10045188259, 10669991075, 9866076595, 11169615835, 11169615865, 9866076555, 9076609689, 9076608692, 9866112841, 11304463380, 9076609981, 11169615827, 11169615942",283506,0.056,175.4,0.9666666666666667,8
Genetic Algorithm,"9076608722, 11169615942, 10844466800, 11081597490, 2216438315, 11304463490, 10045188272, 5597523695, 4801248411, 11169615651, 10137968397, 9076609001, 11304463469, 4517103692, 9428113881, 11169615865, 11169615835, 9076609981, 11169615827, 11304463380, 9866076555, 9076609689, 9076608692, 9866112841, 9866076595, 11169616116, 10669991075, 10045188259, 9076613504, 11304463487",283055,0.056,175.9,0.9666666666666667,9
Genetic Algorithm Adaptive Crossover,"10045188272, 11304463490, 9428113881, 10137968397, 9866076555, 9076609689, 9076608692, 11304463380, 11169615835, 11169615865, 11169616116, 5597523695, 11169615651, 4517103692, 11304463469, 10844466800, 10045188259, 9866076595, 11304463487, 2216438315, 4801248411, 11169615827, 10669991075, 11169615942, 9866112841, 9076609981, 9076608722, 11081597490, 9076613504, 9076609001",323048,0.115,135.9,0.9,0
Genetic Algorithm Adaptive Crossover,"11169616116, 11169615835, 11169615865, 9866112841, 9076609689, 9076608692, 11304463487, 9076613504, 4801248411, 5597523695, 2216438315, 10045188259, 9428113881, 10844466800, 9076609001, 9866076555, 10045188272, 10137968397, 11304463469, 11304463490, 4517103692, 10669991075, 9866076595, 11169615942, 11081597490, 11169615651, 9076608722, 9076609981, 11304463380, 11169615827",355938,0.135,103.0,0.9333333333333333,1
Genetic Algorithm Adaptive Crossover,"9866076555, 11304463380, 5597523695, 11169616116, 9866076595, 10045188259, 11169615942, 10045188272, 11304463490, 4517103692, 11169615651, 2216438315, 11081597490, 10844466800, 9428113881, 10137968397, 9076609001, 11304463469, 10669991075, 11169615865, 11169615835, 9076609689, 9076608692, 9076609981, 11169615827, 9076608722, 9076613504, 4801248411, 11304463487, 9866112841",274722,0.128,184.2,0.06666666666666665,2
Genetic Algorithm Adaptive Crossover,"10137968397, 11081597490, 10045188259, 11169616116, 11304463487, 10669991075, 4801248411, 11169615865, 11169615835, 11304463380, 9076609981, 9866076555, 9866112841, 11169615827, 9076608692, 9076609689, 9076608722, 11169615942, 9076613504, 11169615651, 4517103692, 11304463469, 9428113881, 2216438315, 5597523695, 10844466800, 9866076595, 9076609001, 10045188272, 11304463490",279066,0.12,179.9,0.16666666666666663,3
Genetic Algorithm Adaptive Crossover,"11304463487, 4801248411, 9428113881, 2216438315, 5597523695, 11304463469, 4517103692, 11081597490, 9076609001, 11304463490, 11304463380, 11169615827, 10045188259, 10669991075, 9866076595, 11169616116, 10844466800, 11169615651, 10045188272, 10137968397, 9076613504, 9866076555, 9866112841, 9076609981, 9076609689, 9076608692, 11169615942, 9076608722, 11169615835, 11169615865",320464,0.121,138.5,0.8333333333333334,4
Genetic Algorithm Adaptive Crossover,"9866112841, 9076608692, 9076609001, 2216438315, 11169615651, 11304463469, 5597523695, 9866076595, 10844466800, 9076613504, 11169615827, 11304463380, 10045188259, 11169616116, 4801248411, 10137968397, 11081597490, 4517103692, 9428113881, 10045188272, 11304463490, 9076608722, 10669991075, 11304463487, 11169615942, 9866076555, 11169615835, 9076609981, 11169615865, 9076609689",352768,0.118,106.2,0.9666666666666667,5
Genetic Algorithm Adaptive Crossover,"11169615865, 11169615835, 9866076555, 9076608722, 11304463380, 9076609689, 9076608692, 11169616116, 10137968397, 11304463469, 9428113881, 9866112841, 9076609981, 11169615827, 11169615651, 4517103692, 2216438315, 9076613504, 9866076595, 10669991075, 10844466800, 5597523695, 11304463490, 10045188272, 11304463487, 11169615942, 11081597490, 9076609001, 4801248411, 10045188259",314207,0.115,144.7,0.06666666666666665,6
Genetic Algorithm Adaptive Crossover,"11169615827, 11304463469, 9076613504, 10844466800, 4801248411, 10045188272, 10045188259, 11304463380, 11081597490, 5597523695, 10137968397, 9076609001, 4517103692, 2216438315, 9866076595, 11169616116, 11304463487, 10669991075, 11169615942, 11169615651, 9428113881, 11304463490, 9076608722, 9866112841, 9076609689, 9076608692, 9076609981, 11169615835, 11169615865, 9866076555",353323,0.117,105.6,0.9333333333333333,7
Genetic Algorithm Adaptive Crossover,"10669991075, 9866076595, 9076609981, 9076613504, 11081597490, 4801248411, 5597523695, 9866112841, 11169615865, 9076608722, 11169615827, 11304463380, 9076609689, 9076608692, 11169615835, 11169615942, 11304463487, 11169616116, 10045188259, 9866076555, 10844466800, 11304463490, 10045188272, 9076609001, 10137968397, 11304463469, 2216438315, 4517103692, 11169615651, 9428113881",315529,0.115,143.4,0.06666666666666665,8
Genetic Algorithm Adaptive Crossover,"4801248411, 9076609001, 2216438315, 9076613504, 11169615942, 9866076555, 11304463380, 11169615827, 9866112841, 9076608692, 9076609689, 11169615865, 10137968397, 9428113881, 11081597490, 11304463490, 10045188272, 11304463469, 10844466800, 11304463487, 10045188259, 10669991075, 11169616116, 9076608722, 9866076595, 11169615835, 9076609981, 4517103692, 11169615651, 5597523695",307000,0.118,151.9,0.9,9
Irgibnnm Genetic Algorithm,"11304463380, 9076608722, 11081597490, 9076613504, 10844466800, 10045188259, 9866076595, 11169616116, 9866076555, 11169615827, 9076609981, 9076608692, 9076609689, 9866112841, 11169615835, 11169615865, 11169615942, 2216438315, 9076609001, 11304463469, 10137968397, 4517103692, 11169615651, 10045188272, 11304463490, 9428113881, 4801248411, 5597523695, 11304463487, 10669991075",260468,0.067,198.5,0.06666666666666665,0
Irgibnnm Genetic Algorithm,"9076608722, 11304463487, 10045188259, 9866076595, 9076613504, 9428113881, 5597523695, 2216438315, 11081597490, 4801248411, 11304463469, 9076609001, 4517103692, 11169615651, 10137968397, 10045188272, 11304463490, 10844466800, 11169615942, 11169616116, 10669991075, 11169615865, 11169615835, 9866076555, 11304463380, 9076609981, 11169615827, 9076609689, 9076608692, 9866112841",244129,0.082,214.8,0.9,1
Irgibnnm Genetic Algorithm,"9076608722, 11304463487, 11169616116, 10045188259, 11169615942, 9076613504, 11304463469, 4517103692, 11169615651, 5597523695, 4801248411, 11304463490, 10045188272, 9076609001, 10844466800, 9866076595, 10669991075, 11169615827, 9076609981, 11304463380, 9866076555, 9866112841, 9076608692, 9076609689, 11169615835, 11169615865, 2216438315, 11081597490, 9428113881, 10137968397",274166,0.072,184.8,0.8333333333333334,2
Irgibnnm Genetic Algorithm,"9076608722, 9866076595, 11169616116, 2216438315, 10045188272, 5597523695, 11081597490, 9076609001, 9428113881, 10137968397, 11304463490, 4801248411, 9076613504, 11304463469, 4517103692, 11169615651, 10844466800, 11304463487, 10045188259, 10669991075, 11169615942, 9866076555, 11169615835, 11169615865, 9866112841, 11304463380, 11169615827, 9076609981, 9076608692, 9076609689",300270,0.067,158.7,0.9,3
Irgibnnm Genetic Algorithm,"11169615835, 9866076555, 11169615865, 9076608722, 11169615942, 5597523695, 10045188259, 10844466800, 9076613504, 11081597490, 4801248411, 9428113881, 10137968397, 10045188272, 9076609001, 4517103692, 11169615651, 11304463469, 9076609981, 2216438315, 11169616116, 10669991075, 9866076595, 11304463487, 11304463380, 11169615827, 11304463490, 9866112841, 9076608692, 9076609689",327162,0.068,131.8,0.9666666666666667,4
Irgibnnm Genetic Algorithm,"11304463490, 5597523695, 4801248411, 11169615865, 9866112841, 11169616116, 11169615835, 9076608692, 9076609689, 9866076555, 9866076595, 10045188259, 10669991075, 10844466800, 10045188272, 11081597490, 10137968397, 9076609001, 9428113881, 11304463469, 11169615651, 4517103692, 9076613504, 2216438315, 11169615942, 11304463487, 9076608722, 11169615827, 9076609981, 11304463380",312136,0.069,146.8,0.06666666666666665,5
Irgibnnm Genetic Algorithm,"11304463469, 9076609001, 9076609689, 9076608692, 9866112841, 11169615865, 9866076555, 11169615827, 9866076595, 11169616116, 9428113881, 4517103692, 9076613504, 10669991075, 10045188259, 9076609981, 11169615835, 11304463380, 9076608722, 11081597490, 4801248411, 10045188272, 2216438315, 5597523695, 11304463487, 10137968397, 11304463490, 11169615942, 10844466800, 11169615651",338270,0.067,120.7,0.1333333333333333,6
Irgibnnm Genetic Algorithm,"9076608722, 11169616116, 9866076595, 10045188259, 10669991075, 9428113881, 11169615651, 4517103692, 9076609001, 11304463469, 2216438315, 11304463490, 10045188272, 10137968397, 4801248411, 9076613504, 11169615865, 9866076555, 9866112841, 9076609689, 9076608692, 11169615942, 10844466800, 11081597490, 5597523695, 11304463487, 9076609981, 11304463380, 11169615835, 11169615827",269258,0.067,189.7,0.8666666666666667,7
Irgibnnm Genetic Algorithm,"9076608722, 11169615835, 11169615865, 9866076555, 11169615827, 9076609981, 11304463380, 9076613504, 2216438315, 9428113881, 11169615651, 4517103692, 9076609001, 10045188272, 11304463490, 10137968397, 11304463469, 4801248411, 10844466800, 10045188259, 11169616116, 9866076595, 10669991075, 11304463487, 5597523695, 11081597490, 11169615942, 9866112841, 9076609689, 9076608692",257067,0.066,201.9,0.9333333333333333,8
Irgibnnm Genetic Algorithm,"9076608722, 11169616116, 9866112841, 11304463380, 4801248411, 4517103692, 11169615651, 9866076555, 9076609981, 11169615827, 5597523695, 11081597490, 10844466800, 11304463469, 9076613504, 9428113881, 9866076595, 10045188259, 10669991075, 2216438315, 11304463487, 11169615865, 11169615835, 9076609689, 9076608692, 10137968397, 11304463490, 10045188272, 9076609001, 11169615942",332438,0.067,126.5,0.9333333333333333,9
