Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"11169615865, 11081597490, 5597523695, 10137968397, 9076609981, 11169615835, 9076609689, 11169615827, 11169615942, 11169616116, 9076608692, 10844466800, 9866112841, 11304463380, 11304463469, 10669991075, 9428113881, 10045188259, 9076608722, 11304463490, 4801248411, 11304463487, 4517103692, 9866076555, 9076609001, 2216438315, 11169615651, 9076613504, 9866076595, 10045188272",458950,0.019,0.0,1.0,0
Simulated Annealing,"9076608722, 9866076595, 9076609689, 11304463487, 9866112841, 4517103692, 11169616116, 10669991075, 9428113881, 9076608692, 11169615651, 9076609981, 9076609001, 5597523695, 11169615835, 9076613504, 11081597490, 11304463380, 11169615827, 2216438315, 10045188272, 10844466800, 11304463469, 9866076555, 11169615865, 10137968397, 11169615942, 4801248411, 11304463490, 10045188259",465560,0.019,-6.6,0.9666666666666667,1
Simulated Annealing,"10669991075, 9866076555, 9076608722, 9428113881, 11169615827, 11304463490, 11081597490, 10844466800, 9866112841, 10137968397, 4801248411, 11304463487, 11304463469, 11169616116, 11169615865, 9076608692, 11169615651, 9076609001, 11169615835, 10045188272, 9076609689, 9866076595, 2216438315, 10045188259, 4517103692, 11169615942, 11304463380, 5597523695, 9076609981, 9076613504",483203,0.019,-24.3,0.9666666666666667,2
Simulated Annealing,"11169615827, 9076609981, 9076613504, 9076609001, 9428113881, 9076608692, 2216438315, 5597523695, 11081597490, 11169615835, 11304463380, 11169615651, 11304463469, 11304463490, 9866076595, 11304463487, 11169615865, 10844466800, 4517103692, 11169615942, 4801248411, 9076609689, 9076608722, 9866076555, 10137968397, 11169616116, 10045188259, 9866112841, 10669991075, 10045188272",388693,0.019,70.3,0.9,3
Simulated Annealing,"4517103692, 9866076595, 11169615827, 9076609689, 9076609981, 10137968397, 11304463490, 11169615651, 11169615942, 5597523695, 11081597490, 4801248411, 11169615835, 11304463380, 9428113881, 9076608692, 9076613504, 11169616116, 9076608722, 9076609001, 9866076555, 9866112841, 10045188272, 11169615865, 11304463469, 10844466800, 10045188259, 2216438315, 10669991075, 11304463487",460676,0.019,-1.7,0.1333333333333333,4
Simulated Annealing,"5597523695, 9076609689, 10669991075, 9428113881, 9076608722, 2216438315, 11304463380, 9076613504, 11169615835, 10844466800, 4801248411, 11304463490, 9076609001, 4517103692, 10045188272, 9866076555, 9076608692, 9076609981, 11169615865, 11169615942, 11081597490, 10045188259, 11304463469, 11169616116, 11169615827, 9866076595, 10137968397, 11169615651, 11304463487, 9866112841",442948,0.019,16.0,0.9,5
Simulated Annealing,"11169615651, 9076609981, 2216438315, 9866076595, 9076613504, 9428113881, 11304463469, 9076608722, 11304463490, 9866112841, 11169616116, 4801248411, 11304463487, 10045188272, 10045188259, 5597523695, 9076609689, 11169615835, 10844466800, 11304463380, 10669991075, 11081597490, 9076608692, 11169615865, 4517103692, 11169615942, 10137968397, 11169615827, 9076609001, 9866076555",507535,0.019,-48.6,0.8666666666666667,6
Simulated Annealing,"4801248411, 9076609981, 9076613504, 2216438315, 9076608692, 11169615835, 9866112841, 9076609689, 11304463469, 11304463380, 10669991075, 9076609001, 11169615942, 10137968397, 10844466800, 9866076555, 11169616116, 11169615865, 9076608722, 5597523695, 9866076595, 11304463487, 9428113881, 11304463490, 11169615651, 4517103692, 11081597490, 10045188259, 10045188272, 11169615827",416199,0.019,42.8,0.09999999999999998,7
Simulated Annealing,"9076613504, 10137968397, 11169616116, 9428113881, 9076608692, 11304463380, 10045188272, 5597523695, 9866076595, 9866112841, 11304463469, 11169615651, 9076608722, 9076609689, 10844466800, 11169615942, 11081597490, 11169615827, 9866076555, 11304463490, 9076609001, 11169615835, 4801248411, 9076609981, 2216438315, 4517103692, 11169615865, 11304463487, 10045188259, 10669991075",442179,0.019,16.8,0.033333333333333326,8
Simulated Annealing,"4801248411, 9076609689, 9428113881, 11169615942, 9076608722, 9866076595, 10045188259, 9866112841, 9076613504, 11169615827, 11169616116, 11304463490, 11304463469, 11169615651, 9076609981, 2216438315, 10137968397, 9866076555, 10669991075, 11169615835, 4517103692, 10844466800, 10045188272, 9076608692, 11304463487, 11169615865, 11081597490, 5597523695, 11304463380, 9076609001",455440,0.019,3.5,0.9666666666666667,9
