Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"10651606817, 11304463558, 10217195778, 9076615567, 10844090963, 11304463277, 11169615790, 9076608867, 11304454347, 10844090945, 9076609153, 9076609824, 11164995326, 9866076596, 11169615900, 11169616046, 10756767154, 6590078374, 11169615789, 9076552607, 10844090844, 7792050787, 11169616010, 10844090829, 10594249705, 10992630653, 10844090738, 10578577138, 11169615722, 9866112764",560441,0.019,0.0,1.0,0
Simulated Annealing,"11169615900, 10217195778, 11169616010, 11304454347, 10844090963, 11304463277, 9076615567, 10844090844, 10844090945, 10578577138, 7792050787, 10651606817, 10844090829, 10594249705, 11169615790, 11304463558, 11169615789, 9866112764, 9866076596, 10992630653, 9076552607, 11169615722, 11164995326, 9076608867, 10844090738, 6590078374, 9076609824, 10756767154, 9076609153, 11169616046",473945,0.019,86.5,0.09999999999999998,1
Simulated Annealing,"10844090738, 11169615900, 10651606817, 9866112764, 11169616010, 10217195778, 9076552607, 11169615789, 11304463558, 11164995326, 11304463277, 10844090963, 9866076596, 10578577138, 9076615567, 9076609153, 11169615790, 10844090945, 10594249705, 11169616046, 9076609824, 11304454347, 10756767154, 10844090829, 7792050787, 6590078374, 9076608867, 10992630653, 11169615722, 10844090844",519169,0.019,41.3,0.8666666666666667,2
Simulated Annealing,"11169615789, 10844090945, 11304463558, 10992630653, 9076608867, 11304463277, 10844090963, 9076609824, 9866076596, 10594249705, 9076552607, 9076609153, 11169615790, 11304454347, 10217195778, 11169615722, 10844090844, 10651606817, 10844090829, 11169616010, 11169616046, 10756767154, 10844090738, 9866112764, 6590078374, 11164995326, 11169615900, 9076615567, 10578577138, 7792050787",482992,0.019,77.4,0.06666666666666665,3
Simulated Annealing,"11304463277, 11169615900, 10844090738, 10992630653, 10844090963, 11169615722, 11164995326, 11304454347, 9076615567, 9076609153, 10844090945, 10217195778, 10844090844, 9076608867, 10844090829, 9866112764, 9866076596, 7792050787, 10756767154, 11169616010, 10651606817, 9076552607, 9076609824, 6590078374, 11304463558, 10578577138, 11169615789, 11169616046, 10594249705, 11169615790",514642,0.019,45.8,0.9333333333333333,4
Simulated Annealing,"10594249705, 9076608867, 7792050787, 11169615789, 10217195778, 9076609153, 11169616010, 11304463558, 10844090963, 11169615900, 9866076596, 10651606817, 9076552607, 10844090829, 11169616046, 9866112764, 11169615722, 10992630653, 6590078374, 9076609824, 11164995326, 11304454347, 9076615567, 10844090844, 10844090738, 11169615790, 10578577138, 10756767154, 10844090945, 11304463277",521392,0.019,39.0,0.9333333333333333,5
Simulated Annealing,"11169615722, 9866112764, 10844090844, 11304454347, 10578577138, 9076615567, 9076552607, 6590078374, 10217195778, 11169615790, 11169615900, 9076609824, 9076609153, 11169616010, 10992630653, 9076608867, 11304463277, 7792050787, 10844090738, 11169616046, 10594249705, 11304463558, 10844090945, 10844090829, 11164995326, 11169615789, 10844090963, 10651606817, 10756767154, 9866076596",465453,0.019,95.0,0.9333333333333333,6
Simulated Annealing,"9076609824, 9076552607, 9076609153, 11304463277, 7792050787, 10651606817, 11304454347, 10594249705, 10217195778, 10756767154, 10844090738, 9076608867, 10844090945, 10844090829, 11169615722, 10578577138, 10844090844, 11164995326, 11169616046, 10992630653, 9076615567, 11169616010, 6590078374, 11169615900, 9866076596, 10844090963, 9866112764, 11304463558, 11169615789, 11169615790",520748,0.019,39.7,0.9333333333333333,7
Simulated Annealing,"10844090844, 10651606817, 10594249705, 7792050787, 11169616046, 11169615900, 9866076596, 11169616010, 10217195778, 11304454347, 10844090963, 10756767154, 11169615790, 10992630653, 10844090738, 11169615789, 9076609824, 10844090945, 11164995326, 10844090829, 10578577138, 9076552607, 6590078374, 9076615567, 9076609153, 11304463558, 11169615722, 9866112764, 9076608867, 11304463277",524672,0.019,35.8,0.9,8
Simulated Annealing,"10844090738, 11169616010, 10844090945, 10756767154, 11304454347, 11169615722, 9076609153, 10594249705, 11304463558, 9076609824, 7792050787, 10651606817, 9076608867, 10578577138, 10844090844, 9866076596, 11169616046, 10217195778, 9076615567, 10844090963, 11304463277, 11169615789, 9866112764, 11169615900, 10844090829, 9076552607, 6590078374, 11169615790, 11164995326, 10992630653",481107,0.019,79.3,0.9666666666666667,9
