Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"11304463563, 11169553027, 9719863695, 8762720855, 11169615822, 11169615879, 10844090789, 10844090901, 9719863320, 9076613564, 10543058026, 11169615730, 10844090954, 8846416770, 10844090898",177850,0.02,0.0,1.0,0
Simulated Annealing,"11169615730, 9719863320, 11169615879, 10844090789, 10543058026, 10844090898, 8762720855, 9076613564, 10844090901, 11304463563, 11169553027, 10844090954, 9719863695, 11169615822, 8846416770",227482,0.011,-49.6,0.8666666666666667,1
Simulated Annealing,"8762720855, 9076613564, 10543058026, 9719863695, 11169615730, 10844090898, 11169553027, 11169615879, 10844090901, 10844090789, 10844090954, 11169615822, 9719863320, 11304463563, 8846416770",184385,0.011,-6.5,0.8,2
Simulated Annealing,"9719863695, 11169615822, 8846416770, 10844090901, 10844090789, 11169615879, 9719863320, 10543058026, 9076613564, 10844090954, 11169553027, 11304463563, 10844090898, 8762720855, 11169615730",210866,0.011,-33.0,0.19999999999999996,3
Simulated Annealing,"11169553027, 8846416770, 9719863320, 9719863695, 10844090901, 8762720855, 11304463563, 10844090898, 10844090954, 10543058026, 10844090789, 11169615879, 9076613564, 11169615730, 11169615822",231966,0.011,-54.1,0.9333333333333333,4
Simulated Annealing,"11304463563, 9719863320, 10844090901, 9076613564, 10844090954, 11169553027, 11169615730, 11169615879, 8762720855, 10844090898, 10543058026, 11169615822, 10844090789, 9719863695, 8846416770",217977,0.011,-40.1,0.1333333333333333,5
Simulated Annealing,"10844090954, 11169615730, 10543058026, 8846416770, 11304463563, 11169615879, 8762720855, 9076613564, 10844090901, 9719863695, 10844090789, 9719863320, 11169553027, 10844090898, 11169615822",231292,0.011,-53.4,0.8666666666666667,6
Simulated Annealing,"10844090954, 10844090901, 10543058026, 11169615879, 11169553027, 11169615822, 8846416770, 11169615730, 10844090898, 8762720855, 9076613564, 11304463563, 9719863695, 9719863320, 10844090789",229695,0.011,-51.8,0.8666666666666667,7
Simulated Annealing,"10844090789, 11169553027, 10844090954, 10844090901, 8762720855, 11304463563, 10844090898, 11169615730, 10543058026, 8846416770, 9076613564, 9719863695, 9719863320, 11169615879, 11169615822",235914,0.011,-58.1,0.1333333333333333,8
Simulated Annealing,"11169553027, 10844090954, 9719863320, 8762720855, 9719863695, 8846416770, 9076613564, 10844090901, 11169615822, 10543058026, 10844090898, 11304463563, 11169615730, 11169615879, 10844090789",190878,0.011,-13.0,0.1333333333333333,9
Genetic Algorithm,"11169615730, 9719863320, 10844090954, 9076613564, 10844090901, 10844090789, 11169615879, 11169615822, 11304463563, 10844090898, 11169553027, 8846416770, 9719863695, 8762720855, 10543058026",128168,0.041,49.7,0.7333333333333333,0
Genetic Algorithm,"11169615730, 10844090898, 10844090901, 8846416770, 9719863695, 11169553027, 10543058026, 8762720855, 10844090789, 11169615879, 9076613564, 10844090954, 9719863320, 11169615822, 11304463563",141728,0.041,36.1,0.7333333333333333,1
Genetic Algorithm,"11169615730, 11169553027, 8846416770, 9719863695, 10543058026, 8762720855, 10844090898, 9719863320, 10844090954, 10844090901, 9076613564, 11169615879, 10844090789, 11169615822, 11304463563",141383,0.042,36.5,0.8,2
Genetic Algorithm,"11169615730, 11169553027, 9719863695, 8846416770, 10543058026, 10844090898, 8762720855, 11304463563, 11169615822, 9076613564, 11169615879, 10844090789, 10844090901, 9719863320, 10844090954",138962,0.045,38.9,0.2666666666666667,3
