Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Genetic Algorithm Adaptive Crossover,"11169616104, 11169553034, 10671330938, 8010529823, 9804337717, 10844090747, 9866112824, 11469057700, 10262621015, 11368243054",90438,0.121,59.4,0.8,8
Genetic Algorithm Adaptive Crossover,"8010529823, 10671330938, 9804337717, 10844090747, 9866112824, 10262621015, 11469057700, 11368243054, 11169616104, 11169553034",91307,0.121,58.5,0.19999999999999996,9
Irgibnnm Genetic Algorithm,"11469057700, 10262621015, 11368243054, 11169616104, 11169553034, 10671330938, 8010529823, 9804337717, 9866112824, 10844090747",87363,0.049,62.5,0.09999999999999998,0
Irgibnnm Genetic Algorithm,"8010529823, 10671330938, 9866112824, 10844090747, 9804337717, 11169553034, 10262621015, 11368243054, 11169616104, 11469057700",96013,0.048,53.8,0.19999999999999996,1
Irgibnnm Genetic Algorithm,"10844090747, 9866112824, 8010529823, 10671330938, 9804337717, 11169553034, 11169616104, 11368243054, 10262621015, 11469057700",85973,0.048,63.9,0.9,2
Irgibnnm Genetic Algorithm,"11469057700, 10262621015, 11169616104, 11169553034, 11368243054, 8010529823, 10671330938, 9804337717, 9866112824, 10844090747",99464,0.048,50.4,0.9,3
Irgibnnm Genetic Algorithm,"10844090747, 9866112824, 9804337717, 10671330938, 8010529823, 11169553034, 11169616104, 11368243054, 10262621015, 11469057700",87290,0.049,62.6,0.9,4
Irgibnnm Genetic Algorithm,"10844090747, 9866112824, 9804337717, 10671330938, 8010529823, 11169553034, 11169616104, 11368243054, 10262621015, 11469057700",87290,0.049,62.6,0.9,5
Irgibnnm Genetic Algorithm,"8010529823, 10671330938, 9804337717, 9866112824, 10844090747, 11169553034, 10262621015, 11169616104, 11368243054, 11469057700",85155,0.048,64.7,0.8,6
Irgibnnm Genetic Algorithm,"11469057700, 10262621015, 11169616104, 11368243054, 11169553034, 8010529823, 10671330938, 9804337717, 9866112824, 10844090747",87295,0.057,62.5,0.9,7
Irgibnnm Genetic Algorithm,"11169553034, 11469057700, 10262621015, 11368243054, 11169616104, 9804337717, 8010529823, 10671330938, 9866112824, 10844090747",80618,0.048,69.2,0.8,8
Irgibnnm Genetic Algorithm,"11469057700, 10262621015, 11368243054, 11169616104, 11169553034, 8010529823, 10671330938, 9804337717, 9866112824, 10844090747",87290,0.048,62.6,0.09999999999999998,9
