Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"10671330938, 11368243054, 8010529823, 9804337717, 11469057700, 10844090747, 10262621015, 11169553034, 9866112824, 11169616104",149842,0.009,0.0,1.0,0
Simulated Annealing,"11169553034, 11169616104, 10262621015, 11469057700, 10844090747, 9804337717, 10671330938, 8010529823, 9866112824, 11368243054",106368,0.009,43.5,0.8,1
Simulated Annealing,"8010529823, 9804337717, 11169616104, 9866112824, 10671330938, 10262621015, 11469057700, 11368243054, 10844090747, 11169553034",128667,0.009,21.2,0.8,2
Simulated Annealing,"11368243054, 10262621015, 10671330938, 9866112824, 11469057700, 8010529823, 10844090747, 11169553034, 11169616104, 9804337717",140491,0.009,9.4,0.19999999999999996,3
Simulated Annealing,"9804337717, 10262621015, 10844090747, 11169616104, 8010529823, 11469057700, 10671330938, 11169553034, 11368243054, 9866112824",161612,0.009,-11.8,0.8,4
Simulated Annealing,"8010529823, 9866112824, 11169616104, 11469057700, 10671330938, 10844090747, 9804337717, 11169553034, 11368243054, 10262621015",133117,0.009,16.7,0.7,5
Simulated Annealing,"11169616104, 11368243054, 10844090747, 11469057700, 11169553034, 8010529823, 9866112824, 9804337717, 10671330938, 10262621015",112325,0.009,37.5,0.7,6
Simulated Annealing,"8010529823, 11169616104, 9804337717, 11368243054, 11169553034, 9866112824, 10671330938, 10844090747, 11469057700, 10262621015",141425,0.009,8.4,0.9,7
Simulated Annealing,"11169553034, 11368243054, 10671330938, 11469057700, 9866112824, 10844090747, 10262621015, 9804337717, 8010529823, 11169616104",139732,0.009,10.1,0.4,8
Simulated Annealing,"11169616104, 11469057700, 11169553034, 8010529823, 9866112824, 10262621015, 9804337717, 10844090747, 10671330938, 11368243054",124320,0.009,25.5,0.7,9
Genetic Algorithm,"8010529823, 10671330938, 10262621015, 11469057700, 9804337717, 10844090747, 9866112824, 11169553034, 11169616104, 11368243054",112569,0.037,37.3,0.30000000000000004,0
Genetic Algorithm,"8010529823, 11368243054, 11169616104, 11469057700, 10262621015, 11169553034, 9866112824, 10844090747, 9804337717, 10671330938",91610,0.037,58.2,0.30000000000000004,1
Genetic Algorithm,"8010529823, 10671330938, 9866112824, 10844090747, 9804337717, 11469057700, 10262621015, 11368243054, 11169616104, 11169553034",95866,0.037,54.0,0.30000000000000004,2
Genetic Algorithm,"8010529823, 10671330938, 9804337717, 10844090747, 9866112824, 11169553034, 11169616104, 11469057700, 10262621015, 11368243054",96436,0.037,53.4,0.9,3
Genetic Algorithm,"8010529823, 9804337717, 9866112824, 10844090747, 11368243054, 11169616104, 11469057700, 10262621015, 11169553034, 10671330938",90578,0.037,59.3,0.8,4
Genetic Algorithm,"8010529823, 11169553034, 11469057700, 10262621015, 11169616104, 11368243054, 9804337717, 9866112824, 10844090747, 10671330938",91196,0.037,58.6,0.7,5
Genetic Algorithm,"8010529823, 9804337717, 10262621015, 11368243054, 11169616104, 11469057700, 11169553034, 9866112824, 10844090747, 10671330938",86572,0.037,63.3,0.8,6
Genetic Algorithm,"8010529823, 10671330938, 9804337717, 9866112824, 10844090747, 11169553034, 10262621015, 11469057700, 11169616104, 11368243054",88535,0.037,61.3,0.8,7
Genetic Algorithm,"8010529823, 11368243054, 11169616104, 11469057700, 10262621015, 11169553034, 9866112824, 10844090747, 9804337717, 10671330938",91610,0.037,58.2,0.30000000000000004,8
Genetic Algorithm,"8010529823, 11368243054, 11169616104, 10262621015, 11469057700, 11169553034, 10844090747, 9866112824, 9804337717, 10671330938",83361,0.037,66.5,0.8,9
Genetic Algorithm Adaptive Crossover,"11169553034, 8010529823, 10671330938, 9866112824, 10844090747, 9804337717, 10262621015, 11469057700, 11368243054, 11169616104",95722,0.12,54.1,0.30000000000000004,0
Genetic Algorithm Adaptive Crossover,"10262621015, 11368243054, 8010529823, 10671330938, 10844090747, 9866112824, 9804337717, 11169553034, 11169616104, 11469057700",101928,0.122,47.9,0.30000000000000004,1
Genetic Algorithm Adaptive Crossover,"10671330938, 8010529823, 11368243054, 10262621015, 11469057700, 11169616104, 11169553034, 9866112824, 10844090747, 9804337717",96436,0.12,53.4,0.30000000000000004,2
Genetic Algorithm Adaptive Crossover,"11368243054, 11169616104, 11469057700, 10262621015, 11169553034, 8010529823, 10671330938, 9804337717, 10844090747, 9866112824",93579,0.121,56.3,0.9,3
Genetic Algorithm Adaptive Crossover,"10262621015, 11368243054, 11169616104, 11169553034, 10671330938, 8010529823, 10844090747, 9866112824, 9804337717, 11469057700",95457,0.121,54.4,0.9,4
Genetic Algorithm Adaptive Crossover,"9804337717, 10671330938, 8010529823, 11169616104, 11368243054, 10262621015, 11469057700, 11169553034, 10844090747, 9866112824",82206,0.12,67.6,0.19999999999999996,5
Genetic Algorithm Adaptive Crossover,"11169616104, 11469057700, 10262621015, 11169553034, 9866112824, 10844090747, 9804337717, 10671330938, 8010529823, 11368243054",91610,0.118,58.2,0.6,6
Genetic Algorithm Adaptive Crossover,"11169553034, 10262621015, 11469057700, 11169616104, 11368243054, 8010529823, 10671330938, 9804337717, 10844090747, 9866112824",91610,0.121,58.2,0.9,7
