Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"10608795262, 9076609587, 11304454301, 4712110603, 9076609943, 11360168658, 9412542931, 11169615868, 10605851261, 11169615713",152202,0.013,0.0,1.0,0
Simulated Annealing,"11360168658, 4712110603, 10605851261, 9076609943, 11304454301, 10608795262, 11169615868, 9076609587, 9412542931, 11169615713",125561,0.009,26.6,0.19999999999999996,1
Simulated Annealing,"10608795262, 9076609587, 11169615713, 4712110603, 11360168658, 11169615868, 9412542931, 9076609943, 11304454301, 10605851261",135635,0.009,16.6,0.4,2
Simulated Annealing,"11169615868, 4712110603, 9076609587, 10605851261, 10608795262, 11304454301, 9412542931, 11360168658, 11169615713, 9076609943",127461,0.01,24.7,0.09999999999999998,3
Simulated Annealing,"10608795262, 9076609943, 4712110603, 9412542931, 11304454301, 9076609587, 11360168658, 11169615713, 11169615868, 10605851261",152902,0.009,-0.7,0.30000000000000004,4
Simulated Annealing,"9076609587, 11360168658, 11169615868, 9412542931, 11169615713, 4712110603, 10608795262, 10605851261, 11304454301, 9076609943",127699,0.009,24.5,0.8,5
Simulated Annealing,"11169615868, 4712110603, 9412542931, 9076609587, 11169615713, 10605851261, 11304454301, 11360168658, 10608795262, 9076609943",137409,0.009,14.8,0.8,6
Simulated Annealing,"11169615713, 4712110603, 10608795262, 9076609587, 11360168658, 11169615868, 10605851261, 11304454301, 9412542931, 9076609943",137594,0.009,14.6,0.7,7
Simulated Annealing,"9076609943, 10608795262, 11304454301, 11169615713, 11360168658, 10605851261, 11169615868, 9412542931, 9076609587, 4712110603",142482,0.009,9.7,0.8,8
Simulated Annealing,"4712110603, 11304454301, 11360168658, 11169615868, 10608795262, 10605851261, 11169615713, 9076609587, 9412542931, 9076609943",148346,0.009,3.9,0.09999999999999998,9
Genetic Algorithm,"10608795262, 11169615713, 11360168658, 11304454301, 10605851261, 9076609587, 4712110603, 11169615868, 9076609943, 9412542931",106650,0.037,45.6,0.19999999999999996,0
Genetic Algorithm,"10608795262, 9076609587, 4712110603, 11169615868, 9076609943, 10605851261, 11360168658, 11304454301, 11169615713, 9412542931",108359,0.036,43.8,0.30000000000000004,1
Genetic Algorithm,"10608795262, 11169615713, 9076609943, 11169615868, 4712110603, 9076609587, 11304454301, 11360168658, 10605851261, 9412542931",106872,0.037,45.3,0.19999999999999996,2
Genetic Algorithm,"10608795262, 4712110603, 11169615868, 9076609587, 9076609943, 11360168658, 10605851261, 11304454301, 11169615713, 9412542931",93822,0.036,58.4,0.30000000000000004,3
Genetic Algorithm,"10608795262, 9412542931, 10605851261, 11360168658, 9076609943, 9076609587, 4712110603, 11169615868, 11304454301, 11169615713",101608,0.036,50.6,0.4,4
Genetic Algorithm,"10608795262, 9076609587, 4712110603, 11169615868, 9076609943, 11360168658, 10605851261, 11304454301, 11169615713, 9412542931",100787,0.037,51.4,0.4,5
Genetic Algorithm,"10608795262, 9412542931, 11169615868, 4712110603, 9076609587, 9076609943, 11360168658, 10605851261, 11304454301, 11169615713",97517,0.036,54.7,0.4,6
Genetic Algorithm,"10608795262, 9412542931, 11169615713, 11304454301, 11360168658, 10605851261, 4712110603, 11169615868, 9076609587, 9076609943",97438,0.036,54.8,0.7,7
Genetic Algorithm,"10608795262, 9412542931, 11304454301, 10605851261, 11360168658, 9076609943, 11169615868, 4712110603, 9076609587, 11169615713",99048,0.037,53.2,0.4,8
Genetic Algorithm,"10608795262, 11169615713, 9076609943, 11169615868, 4712110603, 9076609587, 11304454301, 11360168658, 10605851261, 9412542931",106872,0.036,45.3,0.19999999999999996,9
Genetic Algorithm Adaptive Crossover,"10608795262, 11169615713, 9412542931, 11360168658, 10605851261, 11304454301, 9076609587, 4712110603, 11169615868, 9076609943",104054,0.097,48.1,0.8,0
Genetic Algorithm Adaptive Crossover,"11169615868, 9076609943, 11304454301, 10605851261, 11360168658, 11169615713, 10608795262, 9412542931, 9076609587, 4712110603",105463,0.098,46.7,0.8,1
Genetic Algorithm Adaptive Crossover,"9076609587, 11304454301, 11360168658, 10605851261, 11169615713, 10608795262, 9412542931, 9076609943, 11169615868, 4712110603",106960,0.099,45.2,0.19999999999999996,2
Genetic Algorithm Adaptive Crossover,"11169615713, 9076609587, 4712110603, 11169615868, 9076609943, 11360168658, 10605851261, 11304454301, 10608795262, 9412542931",100351,0.101,51.9,0.7,3
Genetic Algorithm Adaptive Crossover,"9076609587, 10608795262, 11169615713, 9412542931, 11304454301, 11360168658, 10605851261, 9076609943, 11169615868, 4712110603",106916,0.104,45.3,0.9,4
Genetic Algorithm Adaptive Crossover,"4712110603, 11169615868, 9076609943, 11169615713, 9412542931, 10608795262, 11304454301, 11360168658, 10605851261, 9076609587",106858,0.101,45.3,0.9,5
Genetic Algorithm Adaptive Crossover,"10608795262, 11304454301, 10605851261, 11360168658, 9076609943, 11169615868, 4712110603, 9076609587, 11169615713, 9412542931",100351,0.11,51.9,0.30000000000000004,6
Genetic Algorithm Adaptive Crossover,"10608795262, 9412542931, 11169615713, 11304454301, 11360168658, 10605851261, 9076609943, 11169615868, 4712110603, 9076609587",108359,0.121,43.8,0.8,7
Genetic Algorithm Adaptive Crossover,"11304454301, 10605851261, 11360168658, 9076609943, 11169615868, 4712110603, 9076609587, 10608795262, 9412542931, 11169615713",100787,0.123,51.4,0.7,8
Genetic Algorithm Adaptive Crossover,"9076609587, 10608795262, 9412542931, 11169615713, 11304454301, 11360168658, 10605851261, 9076609943, 11169615868, 4712110603",108359,0.119,43.8,0.09999999999999998,9
Irgibnnm Genetic Algorithm,"11169615713, 9412542931, 10608795262, 11304454301, 10605851261, 11360168658, 9076609943, 4712110603, 11169615868, 9076609587",95779,0.048,56.4,0.6,0
Irgibnnm Genetic Algorithm,"11169615868, 4712110603, 9076609587, 9076609943, 11169615713, 9412542931, 10608795262, 11304454301, 10605851261, 11360168658",88410,0.048,63.8,0.19999999999999996,1
Irgibnnm Genetic Algorithm,"10605851261, 11360168658, 11304454301, 10608795262, 11169615713, 9412542931, 9076609943, 9076609587, 4712110603, 11169615868",102181,0.048,50.0,0.9,2
Irgibnnm Genetic Algorithm,"11169615868, 4712110603, 9076609587, 9076609943, 10608795262, 9412542931, 11169615713, 11304454301, 10605851261, 11360168658",88184,0.048,64.0,0.19999999999999996,3
Irgibnnm Genetic Algorithm,"11360168658, 10605851261, 11304454301, 9412542931, 10608795262, 11169615713, 9076609943, 9076609587, 4712110603, 11169615868",87107,0.048,65.1,0.8,4
Irgibnnm Genetic Algorithm,"11169615868, 4712110603, 9076609587, 9076609943, 11360168658, 10605851261, 11304454301, 10608795262, 9412542931, 11169615713",98836,0.049,53.4,0.19999999999999996,5
Irgibnnm Genetic Algorithm,"11360168658, 10605851261, 11304454301, 10608795262, 9412542931, 11169615713, 9076609943, 9076609587, 11169615868, 4712110603",80584,0.049,71.6,0.8,6
Irgibnnm Genetic Algorithm,"11360168658, 10605851261, 11304454301, 11169615713, 10608795262, 9412542931, 9076609943, 9076609587, 11169615868, 4712110603",79369,0.048,72.8,0.9,7
Irgibnnm Genetic Algorithm,"11169615713, 9412542931, 10608795262, 11304454301, 11360168658, 10605851261, 9076609943, 9076609587, 11169615868, 4712110603",101417,0.048,50.8,0.8,8
Irgibnnm Genetic Algorithm,"9412542931, 10605851261, 11304454301, 4712110603, 9076609587, 9076609943, 11169615713, 11360168658, 10608795262, 11169615868",141454,0.048,10.7,0.30000000000000004,9
