Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Genetic Algorithm,"11169615702, 9076609456, 9076606253, 9866076535, 10844090753, 9866076540, 9076608902, 11169616124, 11281749983, 11169615699",136253,0.039,37.4,0.8,8
Genetic Algorithm,"11169615702, 11169615699, 9076606253, 9866076535, 9866076540, 9076608902, 11169616124, 11281749983, 10844090753, 9076609456",148537,0.038,25.1,0.30000000000000004,9
Genetic Algorithm Adaptive Crossover,"9866076535, 11169615699, 9076609456, 11169615702, 9076606253, 11281749983, 9866076540, 11169616124, 9076608902, 10844090753",130313,0.102,43.3,0.30000000000000004,0
Genetic Algorithm Adaptive Crossover,"9076606253, 11281749983, 9866076540, 11169616124, 9076608902, 10844090753, 9866076535, 9076609456, 11169615702, 11169615699",138522,0.103,35.1,0.9,1
Genetic Algorithm Adaptive Crossover,"9076609456, 11281749983, 9076608902, 11169616124, 9866076540, 10844090753, 9866076535, 9076606253, 11169615699, 11169615702",144183,0.105,29.5,0.19999999999999996,2
Genetic Algorithm Adaptive Crossover,"10844090753, 9076609456, 11169615702, 11169615699, 9076606253, 9866076535, 11281749983, 11169616124, 9076608902, 9866076540",142265,0.1,31.4,0.9,3
Genetic Algorithm Adaptive Crossover,"11169615699, 11169616124, 9076608902, 9866076540, 11281749983, 10844090753, 9866076535, 9076609456, 11169615702, 9076606253",130899,0.105,42.7,0.8,4
Genetic Algorithm Adaptive Crossover,"11281749983, 9866076540, 11169616124, 9076608902, 10844090753, 9866076535, 9076609456, 11169615702, 11169615699, 9076606253",138522,0.103,35.1,0.8,5
Genetic Algorithm Adaptive Crossover,"11281749983, 9076606253, 11169615699, 9076609456, 11169615702, 9866076535, 10844090753, 9076608902, 11169616124, 9866076540",136360,0.101,37.3,0.9,6
Genetic Algorithm Adaptive Crossover,"9866076535, 10844090753, 9866076540, 9076608902, 11169616124, 11281749983, 9076606253, 9076609456, 11169615702, 11169615699",136545,0.102,37.1,0.8,7
Genetic Algorithm Adaptive Crossover,"11169615702, 9076609456, 9866076535, 10844090753, 9866076540, 9076608902, 11169616124, 11281749983, 9076606253, 11169615699",139656,0.101,34.0,0.8,8
Genetic Algorithm Adaptive Crossover,"9076608902, 10844090753, 9866076535, 11169615699, 9076609456, 11169615702, 9076606253, 11281749983, 9866076540, 11169616124",130313,0.106,43.3,0.8,9
Irgibnnm Genetic Algorithm,"9076609456, 9866076535, 10844090753, 11281749983, 9076608902, 9866076540, 11169616124, 11169615702, 11169615699, 9076606253",156502,0.048,17.1,0.8,0
Irgibnnm Genetic Algorithm,"9076608902, 11169616124, 9866076540, 11281749983, 10844090753, 9866076535, 9076609456, 11169615702, 11169615699, 9076606253",146631,0.048,27.0,0.19999999999999996,1
Irgibnnm Genetic Algorithm,"9866076540, 11169616124, 9076608902, 11281749983, 10844090753, 9866076535, 11169615702, 9076609456, 11169615699, 9076606253",145758,0.048,27.9,0.19999999999999996,2
Irgibnnm Genetic Algorithm,"9076606253, 11169615699, 11169615702, 9076609456, 9866076535, 10844090753, 11281749983, 9866076540, 9076608902, 11169616124",142131,0.048,31.5,0.9,3
Irgibnnm Genetic Algorithm,"9076606253, 11169615699, 9076609456, 11169615702, 9866076535, 10844090753, 11281749983, 9076608902, 11169616124, 9866076540",145758,0.047,27.9,0.8,4
Irgibnnm Genetic Algorithm,"9076608902, 9866076540, 11169616124, 11281749983, 10844090753, 9866076535, 9076609456, 11169615702, 11169615699, 9076606253",147475,0.065,26.2,0.9,5
Irgibnnm Genetic Algorithm,"9076606253, 11169615699, 11169615702, 9076609456, 9866076535, 10844090753, 11281749983, 9866076540, 9076608902, 11169616124",142131,0.048,31.5,0.9,6
Irgibnnm Genetic Algorithm,"11169616124, 9076608902, 9866076540, 11281749983, 10844090753, 9866076535, 9076609456, 11169615702, 11169615699, 9076606253",142131,0.049,31.5,0.9,7
Irgibnnm Genetic Algorithm,"9076606253, 11169615699, 11169615702, 9076609456, 9866076535, 10844090753, 11281749983, 9866076540, 11169616124, 9076608902",146631,0.049,27.0,0.8,8
Irgibnnm Genetic Algorithm,"9076606253, 11169615702, 9076609456, 11169615699, 9866076535, 10844090753, 11281749983, 9866076540, 9076608902, 11169616124",133921,0.05,39.7,0.9,9
