Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"11281749983, 11169616124, 11169615702, 9076606253, 9076609456, 9866076540, 9076608902, 9866076535, 11169615699, 10844090753",173647,0.01,0.0,1.0,0
Simulated Annealing,"9076608902, 11169615702, 9076606253, 9866076535, 11169615699, 10844090753, 9866076540, 9076609456, 11281749983, 11169616124",174490,0.009,-0.8,0.8,1
Simulated Annealing,"9076606253, 10844090753, 9076609456, 11169615702, 11169615699, 9866076535, 11169616124, 11281749983, 9076608902, 9866076540",161710,0.009,11.9,1.0,2
Simulated Annealing,"9076608902, 9866076535, 9866076540, 11169615702, 11281749983, 9076606253, 11169615699, 9076609456, 10844090753, 11169616124",198215,0.009,-24.6,0.9,3
Simulated Annealing,"11169616124, 10844090753, 9076609456, 11169615702, 9866076535, 11281749983, 9076606253, 11169615699, 9866076540, 9076608902",148962,0.009,24.7,0.9,4
Simulated Annealing,"10844090753, 9076608902, 9866076540, 9866076535, 9076609456, 11169616124, 11169615699, 11169615702, 9076606253, 11281749983",175815,0.009,-2.2,0.6,5
Simulated Annealing,"11169615699, 11281749983, 9076608902, 9866076535, 9866076540, 9076609456, 10844090753, 9076606253, 11169616124, 11169615702",223865,0.009,-50.2,0.6,6
Simulated Annealing,"9866076535, 11169615702, 9076609456, 9866076540, 11169615699, 9076608902, 10844090753, 9076606253, 11281749983, 11169616124",189633,0.01,-16.0,0.19999999999999996,7
Simulated Annealing,"11169616124, 11169615702, 9076606253, 11281749983, 11169615699, 9076609456, 9866076540, 9076608902, 9866076535, 10844090753",185963,0.01,-12.3,0.6,8
Simulated Annealing,"11169616124, 11169615699, 11281749983, 9076606253, 9866076535, 11169615702, 10844090753, 9076609456, 9076608902, 9866076540",174499,0.01,-0.9,0.9,9
Genetic Algorithm,"11169615702, 9076609456, 11169615699, 9866076535, 10844090753, 11169616124, 9076608902, 9866076540, 11281749983, 9076606253",123121,0.037,50.5,0.8,0
Genetic Algorithm,"11169615702, 9076609456, 11169615699, 9866076535, 9076608902, 11169616124, 9866076540, 11281749983, 10844090753, 9076606253",140747,0.038,32.9,0.8,1
Genetic Algorithm,"11169615702, 9076606253, 9866076535, 10844090753, 9076608902, 11169616124, 9866076540, 9076609456, 11169615699, 11281749983",166967,0.037,6.7,0.7,2
Genetic Algorithm,"11169615702, 11169615699, 9076606253, 9866076535, 11281749983, 9866076540, 11169616124, 9076608902, 10844090753, 9076609456",141132,0.037,32.5,0.8,3
Genetic Algorithm,"11169615702, 11281749983, 11169616124, 9076608902, 9866076540, 10844090753, 9866076535, 9076606253, 11169615699, 9076609456",140220,0.037,33.4,0.30000000000000004,4
Genetic Algorithm,"11169615702, 9076609456, 9866076535, 11281749983, 9076608902, 11169616124, 9866076540, 10844090753, 9076606253, 11169615699",143974,0.037,29.7,0.8,5
Genetic Algorithm,"11169615702, 9076609456, 9076606253, 9866076535, 10844090753, 9076608902, 11169616124, 9866076540, 11281749983, 11169615699",135119,0.066,38.5,0.09999999999999998,6
Genetic Algorithm,"11169615702, 9866076535, 10844090753, 9866076540, 11169616124, 9076608902, 11281749983, 9076606253, 11169615699, 9076609456",138023,0.038,35.6,0.19999999999999996,7
