Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"9076609700, 11169615746, 11304463413, 10844090760, 9076612865, 10045188268, 10844090763, 9076611364, 4602327638, 11169615690, 9076609473, 11110309010, 11304454329, 11169615920, 10011742882, 11169616122, 11169615768, 8917663690, 4274088189, 11169615723, 11169615815, 10844090816, 11368243053, 10961231400, 5597523695, 11304463593, 10045188273, 9076609118, 9076609782, 11304454314",513972,0.02,0.0,1.0,0
Simulated Annealing,"11304463593, 10844090816, 9076612865, 10011742882, 9076609700, 11110309010, 11304454314, 11169615690, 8917663690, 9076609473, 11169615746, 11169616122, 10961231400, 11169615723, 11304454329, 5597523695, 4602327638, 10045188268, 11169615768, 11304463413, 10045188273, 11169615920, 9076609118, 11368243053, 9076611364, 4274088189, 11169615815, 9076609782, 10844090763, 10844090760",445610,0.019,68.4,0.06666666666666665,1
Simulated Annealing,"10045188268, 9076611364, 11169615920, 11110309010, 10045188273, 4274088189, 4602327638, 9076609700, 10844090816, 11304454314, 11304463593, 10961231400, 10844090763, 9076609118, 9076609473, 10844090760, 11169615690, 11169615723, 9076612865, 11169615768, 9076609782, 11304463413, 11304454329, 11169615815, 10011742882, 11169615746, 11169616122, 5597523695, 11368243053, 8917663690",536917,0.019,-22.9,0.9666666666666667,2
Simulated Annealing,"9076609782, 11368243053, 11304454314, 9076611364, 10961231400, 11169616122, 11169615723, 11169615746, 9076609118, 10844090816, 11304463593, 4602327638, 9076612865, 10011742882, 9076609700, 10844090760, 8917663690, 11169615920, 11169615690, 10045188273, 11304463413, 11110309010, 5597523695, 9076609473, 10045188268, 11169615815, 4274088189, 11169615768, 10844090763, 11304454329",495697,0.019,18.3,0.9,3
Simulated Annealing,"10011742882, 10844090763, 4274088189, 10045188268, 9076609782, 11169615746, 9076612865, 11169615723, 9076611364, 4602327638, 11169616122, 8917663690, 10844090816, 9076609118, 9076609473, 11169615690, 11169615920, 11368243053, 10844090760, 11169615768, 9076609700, 10045188273, 11304454314, 5597523695, 10961231400, 11304463593, 11304463413, 11169615815, 11110309010, 11304454329",519280,0.019,-5.3,0.09999999999999998,4
Simulated Annealing,"11169615768, 10011742882, 11169615815, 9076612865, 11169615746, 11304463413, 9076609473, 10844090816, 4274088189, 10844090760, 9076609700, 11304454314, 9076609782, 11110309010, 8917663690, 11304463593, 11169615690, 10045188268, 11169615920, 10844090763, 11368243053, 9076609118, 10961231400, 11169616122, 5597523695, 11304454329, 9076611364, 10045188273, 11169615723, 4602327638",478503,0.019,35.5,0.06666666666666665,5
Simulated Annealing,"10045188268, 11169615690, 11110309010, 10844090763, 11304454314, 8917663690, 11169615768, 10011742882, 11169615746, 11169615723, 11368243053, 9076609782, 10844090816, 11169616122, 4274088189, 11304463593, 11169615815, 9076609700, 11169615920, 5597523695, 9076611364, 9076609473, 4602327638, 10844090760, 10961231400, 10045188273, 11304454329, 9076612865, 9076609118, 11304463413",483408,0.019,30.6,0.9,6
Simulated Annealing,"5597523695, 11304454314, 11304463593, 11169615723, 10045188268, 11304454329, 11169615690, 10844090816, 9076609118, 10844090763, 4602327638, 9076609700, 8917663690, 9076612865, 10045188273, 4274088189, 10011742882, 11169615920, 9076609782, 11169615768, 11169616122, 9076611364, 11169615746, 11368243053, 10961231400, 11169615815, 11110309010, 11304463413, 10844090760, 9076609473",517402,0.019,-3.4,0.9,7
Simulated Annealing,"10844090763, 10045188273, 10961231400, 4274088189, 11368243053, 10844090816, 9076612865, 9076609118, 4602327638, 10045188268, 11169615723, 11110309010, 11169615920, 11169615768, 11304463413, 11169616122, 5597523695, 11169615815, 11169615690, 11304463593, 9076609700, 10011742882, 8917663690, 9076611364, 11169615746, 10844090760, 11304454314, 9076609782, 9076609473, 11304454329",453133,0.019,60.8,0.9,8
Simulated Annealing,"11169615690, 11304463413, 11304454314, 11169615815, 11169616122, 10844090816, 10844090763, 10011742882, 4602327638, 11304463593, 11110309010, 11169615920, 10961231400, 8917663690, 9076609118, 11169615723, 11169615746, 11169615768, 11304454329, 4274088189, 9076609473, 10844090760, 10045188273, 9076609700, 9076609782, 9076611364, 5597523695, 10045188268, 11368243053, 9076612865",539152,0.019,-25.2,0.1333333333333333,9
Genetic Algorithm,"11169615768, 10011742882, 10045188273, 9076612865, 10844090816, 9076611364, 9076609118, 9076609700, 11368243053, 8917663690, 11304463593, 11169616122, 11304454329, 11169615815, 11169615723, 10844090760, 10961231400, 10844090763, 4602327638, 11110309010, 11169615746, 11169615690, 9076609782, 10045188268, 11169615920, 11304454314, 5597523695, 4274088189, 11304463413, 9076609473",290447,0.056,223.5,0.9,0
Genetic Algorithm,"11169615768, 11110309010, 4602327638, 10844090760, 4274088189, 11304454314, 8917663690, 10844090763, 11169615723, 10045188268, 11169615920, 11169615815, 9076609700, 9076609118, 9076611364, 11304454329, 10961231400, 11169615690, 11169615746, 9076609782, 5597523695, 11304463413, 11368243053, 11304463593, 9076609473, 9076612865, 10011742882, 10045188273, 10844090816, 11169616122",288053,0.055,225.9,0.06666666666666665,1
Genetic Algorithm,"11169615768, 9076612865, 10011742882, 10844090816, 11304463593, 8917663690, 11368243053, 11304463413, 9076609473, 11169615723, 9076609700, 5597523695, 4274088189, 11304454314, 4602327638, 9076609118, 9076611364, 11110309010, 11169615690, 11169615746, 10844090760, 10844090763, 10961231400, 11304454329, 11169615815, 9076609782, 11169615920, 11169616122, 10045188268, 10045188273",325334,0.055,188.6,0.8666666666666667,2
Genetic Algorithm,"11169615768, 11169615690, 11304463413, 9076609473, 11368243053, 11304463593, 11169616122, 10844090816, 9076609118, 11304454329, 11169615815, 9076609782, 11169615920, 10045188268, 4602327638, 11169615723, 11169615746, 11110309010, 10844090760, 10961231400, 10844090763, 5597523695, 4274088189, 9076609700, 9076611364, 11304454314, 8917663690, 10045188273, 9076612865, 10011742882",295576,0.055,218.4,0.9666666666666667,3
Genetic Algorithm,"11169615768, 10045188273, 10844090816, 11169616122, 9076612865, 10011742882, 4274088189, 11304454314, 5597523695, 8917663690, 11368243053, 9076609473, 11169615815, 11110309010, 11169615920, 10045188268, 11169615690, 11169615746, 9076609782, 4602327638, 9076609118, 9076609700, 9076611364, 11304454329, 11169615723, 10844090763, 10844090760, 10961231400, 11304463413, 11304463593",275917,0.055,238.1,0.9,4
Genetic Algorithm,"11169615768, 11304463593, 11304463413, 9076609473, 11368243053, 8917663690, 5597523695, 10961231400, 11304454329, 11169615723, 10844090760, 10844090763, 4274088189, 11110309010, 11169615690, 11304454314, 11169615815, 11169615746, 9076609782, 10045188268, 11169615920, 4602327638, 9076609118, 10045188273, 9076612865, 10011742882, 10844090816, 11169616122, 9076611364, 9076609700",302485,0.055,211.5,0.8666666666666667,5
Genetic Algorithm,"11169615768, 11304454329, 9076609118, 9076609700, 9076611364, 4602327638, 10844090760, 11169615723, 9076609473, 11304463413, 10045188273, 10011742882, 11169616122, 9076612865, 8917663690, 11304463593, 10844090816, 11169615746, 9076609782, 11169615690, 11169615920, 10045188268, 11110309010, 11169615815, 10961231400, 10844090763, 4274088189, 11304454314, 5597523695, 11368243053",309245,0.055,204.7,0.09999999999999998,6
Genetic Algorithm,"11169615768, 11169616122, 10844090816, 9076612865, 11304463593, 11304463413, 8917663690, 9076611364, 9076609118, 9076609700, 11304454329, 5597523695, 11169615815, 9076609782, 11169615746, 11169615690, 11110309010, 11304454314, 4274088189, 10045188268, 11169615920, 10844090760, 11169615723, 10961231400, 4602327638, 10844090763, 11368243053, 9076609473, 10045188273, 10011742882",289443,0.055,224.5,0.09999999999999998,7
Genetic Algorithm,"11169615768, 5597523695, 11304454314, 4274088189, 11169615746, 11169615690, 4602327638, 10844090763, 10961231400, 11169615723, 9076609118, 9076611364, 9076609700, 11169616122, 10011742882, 9076612865, 8917663690, 10045188268, 11169615920, 11169615815, 11110309010, 9076609782, 10844090760, 11304454329, 11304463593, 11368243053, 9076609473, 11304463413, 10045188273, 10844090816",254115,0.055,259.9,0.9,8
Genetic Algorithm,"11169615768, 9076609700, 9076609118, 11304454329, 11304463413, 11368243053, 9076612865, 11169615920, 11169615723, 10844090816, 10011742882, 9076611364, 11169616122, 10045188273, 11304454314, 11169615815, 10844090763, 10961231400, 10844090760, 4274088189, 11110309010, 11169615690, 9076609782, 11169615746, 4602327638, 10045188268, 5597523695, 11304463593, 8917663690, 9076609473",394548,0.055,119.4,0.9,9
Genetic Algorithm Adaptive Crossover,"9076609118, 9076611364, 11368243053, 11304463593, 9076609473, 11304454314, 10844090760, 4274088189, 10045188268, 11304454329, 11304463413, 11169615768, 11169616122, 10045188273, 10844090816, 9076612865, 10011742882, 8917663690, 10961231400, 5597523695, 4602327638, 9076609782, 11110309010, 11169615920, 11169615690, 11169615815, 10844090763, 11169615746, 11169615723, 9076609700",309639,0.117,204.3,0.8666666666666667,0
