Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Genetic Algorithm Adaptive Crossover,"10961231400, 10045188268, 9076609782, 11169615815, 11169615690, 11169615920, 11304454329, 9076609118, 11304463413, 11304463593, 11169615768, 9076612865, 10844090816, 10011742882, 11169616122, 10045188273, 11368243053, 8917663690, 9076611364, 9076609700, 9076609473, 4274088189, 4602327638, 11169615723, 11304454314, 10844090763, 10844090760, 5597523695, 11110309010, 11169615746",329502,0.119,184.5,0.9,1
Genetic Algorithm Adaptive Crossover,"11304454329, 4274088189, 9076609782, 11169615920, 11169615690, 11169615746, 11169615815, 4602327638, 10844090760, 11110309010, 5597523695, 11304454314, 8917663690, 10045188268, 11169615723, 10961231400, 10844090763, 9076611364, 9076609700, 9076609473, 11368243053, 10045188273, 11169616122, 11304463413, 9076609118, 10844090816, 11304463593, 10011742882, 9076612865, 11169615768",311877,0.116,202.1,0.9333333333333333,2
Genetic Algorithm Adaptive Crossover,"10045188273, 11169615768, 10011742882, 9076612865, 11368243053, 9076609700, 11169615690, 11110309010, 11169615746, 11169615815, 11169615723, 10844090760, 10844090763, 10961231400, 11169615920, 10045188268, 4602327638, 4274088189, 5597523695, 8917663690, 9076609118, 9076609782, 9076611364, 11304454329, 11304454314, 10844090816, 9076609473, 11304463593, 11169616122, 11304463413",312037,0.115,201.9,0.9,3
Genetic Algorithm Adaptive Crossover,"10844090816, 9076612865, 10011742882, 11169615768, 10045188273, 11169615723, 10844090763, 10844090760, 11169615815, 11169615920, 10045188268, 9076609782, 9076609118, 11169615690, 5597523695, 11169616122, 11304463413, 9076609473, 11110309010, 4602327638, 10961231400, 11169615746, 11304454314, 4274088189, 9076609700, 9076611364, 11304454329, 11304463593, 11368243053, 8917663690",319211,0.114,194.8,0.9333333333333333,4
Genetic Algorithm Adaptive Crossover,"11169616122, 10844090816, 11368243053, 11169615746, 11110309010, 11169615690, 4602327638, 11169615815, 9076609782, 5597523695, 8917663690, 9076611364, 10045188273, 9076609473, 11304463413, 10961231400, 10844090763, 4274088189, 11304454314, 9076609700, 9076609118, 10045188268, 11169615723, 10844090760, 11304454329, 11169615920, 11169615768, 9076612865, 10011742882, 11304463593",363699,0.113,150.3,0.9666666666666667,5
Genetic Algorithm Adaptive Crossover,"11169615768, 11304463413, 9076612865, 10844090816, 11169616122, 10011742882, 10045188273, 11304463593, 9076609473, 9076609700, 10844090760, 11169615920, 4274088189, 9076609782, 11169615690, 10045188268, 11304454314, 11304454329, 11169615723, 11169615746, 11169615815, 10844090763, 10961231400, 4602327638, 11110309010, 5597523695, 9076609118, 8917663690, 9076611364, 11368243053",360382,0.114,153.6,0.16666666666666663,6
Genetic Algorithm Adaptive Crossover,"10844090760, 11169615690, 9076609782, 11304454314, 11169615815, 11169615746, 9076609473, 11169616122, 9076612865, 4602327638, 11169615920, 10045188268, 11110309010, 4274088189, 8917663690, 9076611364, 9076609118, 10011742882, 10844090816, 10045188273, 11169615768, 11304463413, 11368243053, 11304463593, 9076609700, 11304454329, 5597523695, 10961231400, 10844090763, 11169615723",313814,0.113,200.2,0.9333333333333333,7
Genetic Algorithm Adaptive Crossover,"8917663690, 9076609473, 11304463413, 11368243053, 11169615768, 10011742882, 11304463593, 11304454329, 5597523695, 11169615815, 11110309010, 11169615746, 9076609700, 9076612865, 10844090816, 11169616122, 9076611364, 9076609118, 10045188273, 11169615723, 10844090763, 10961231400, 10045188268, 11169615920, 11169615690, 9076609782, 10844090760, 4274088189, 11304454314, 4602327638",314114,0.114,199.9,0.09999999999999998,8
Genetic Algorithm Adaptive Crossover,"4602327638, 5597523695, 10844090760, 11169615746, 4274088189, 11169615920, 10045188268, 11169615815, 11169615723, 11304454314, 11304463413, 11368243053, 11169616122, 11169615768, 9076609700, 8917663690, 10844090816, 10011742882, 9076612865, 9076609118, 9076611364, 9076609473, 10045188273, 11304463593, 11304454329, 10961231400, 10844090763, 11110309010, 9076609782, 11169615690",307951,0.11,206.0,0.09999999999999998,9
Irgibnnm Genetic Algorithm,"10961231400, 11169615723, 10844090760, 4602327638, 4274088189, 11110309010, 9076609782, 11169615746, 11169615920, 11169615690, 10045188268, 9076611364, 9076609700, 9076609118, 8917663690, 9076612865, 10011742882, 11169615768, 11169616122, 11368243053, 10045188273, 9076609473, 11304463413, 11304463593, 10844090816, 11304454329, 11304454314, 5597523695, 10844090763, 11169615815",279714,0.075,234.3,0.06666666666666665,0
Irgibnnm Genetic Algorithm,"11169615920, 10045188268, 8917663690, 11304463413, 11368243053, 9076612865, 10011742882, 10844090816, 10045188273, 11304463593, 10961231400, 10844090763, 11169615723, 10844090760, 11304454329, 9076609118, 9076609700, 9076611364, 11304454314, 11169615768, 11169616122, 9076609473, 9076609782, 11110309010, 11169615690, 11169615815, 11169615746, 4602327638, 5597523695, 4274088189",292014,0.065,222.0,0.033333333333333326,1
Irgibnnm Genetic Algorithm,"8917663690, 11169616122, 10961231400, 11169615723, 10844090763, 11304454314, 10844090760, 9076609118, 10844090816, 10011742882, 9076612865, 11110309010, 9076609782, 11169615920, 11169615815, 4602327638, 10045188268, 11169615690, 11169615746, 4274088189, 9076609700, 9076611364, 11304454329, 5597523695, 9076609473, 11304463413, 11368243053, 10045188273, 11169615768, 11304463593",303354,0.065,210.6,0.09999999999999998,2
Irgibnnm Genetic Algorithm,"11304463413, 10045188273, 11304463593, 9076609473, 11368243053, 8917663690, 11169615920, 10045188268, 11169615746, 4274088189, 10961231400, 11304454329, 9076609700, 9076611364, 9076609118, 11169616122, 11169615768, 10011742882, 9076612865, 10844090816, 10844090763, 11304454314, 5597523695, 11169615690, 11169615815, 4602327638, 10844090760, 9076609782, 11169615723, 11110309010",313394,0.065,200.6,0.09999999999999998,3
Irgibnnm Genetic Algorithm,"4602327638, 9076609782, 11169615815, 11169615690, 10844090763, 10961231400, 11169615920, 11110309010, 10045188268, 4274088189, 11368243053, 11169615746, 11304454314, 5597523695, 10844090760, 11169615723, 11304454329, 9076609700, 9076609118, 9076611364, 10844090816, 10011742882, 9076612865, 11169615768, 10045188273, 11169616122, 8917663690, 11304463413, 11304463593, 9076609473",316096,0.065,197.9,0.9,4
Irgibnnm Genetic Algorithm,"10844090816, 9076612865, 10011742882, 10045188273, 11169615768, 9076609473, 11304463413, 11169616122, 11368243053, 11304463593, 9076609700, 9076609118, 8917663690, 9076611364, 11304454329, 4274088189, 9076609782, 11169615746, 11304454314, 10844090760, 11169615723, 10045188268, 11169615920, 10961231400, 10844090763, 5597523695, 4602327638, 11169615690, 11110309010, 11169615815",290992,0.065,223.0,0.9333333333333333,5
Irgibnnm Genetic Algorithm,"8917663690, 11169616122, 10011742882, 9076612865, 10844090816, 10045188273, 11368243053, 11304463593, 11169615768, 10844090763, 10961231400, 11169615920, 10045188268, 4602327638, 11169615723, 10844090760, 5597523695, 11169615690, 11169615746, 9076609782, 11169615815, 11110309010, 9076609118, 9076609700, 9076611364, 11304454329, 11304454314, 4274088189, 9076609473, 11304463413",263367,0.064,250.6,0.9,6
Irgibnnm Genetic Algorithm,"11169615815, 9076611364, 9076609118, 9076609700, 5597523695, 11304454314, 9076609782, 10045188268, 11169615920, 4274088189, 4602327638, 11169615746, 11169615690, 11110309010, 10844090763, 10844090760, 11169615723, 10961231400, 10844090816, 11304454329, 8917663690, 11304463593, 11169615768, 11169616122, 9076609473, 11304463413, 10045188273, 9076612865, 10011742882, 11368243053",298790,0.065,215.2,0.9333333333333333,7
Irgibnnm Genetic Algorithm,"11304454314, 4274088189, 11169615746, 11169615690, 10961231400, 10844090763, 11304463593, 11304463413, 8917663690, 11304454329, 11169615723, 10844090760, 9076609782, 10045188268, 11169615920, 4602327638, 5597523695, 11110309010, 9076609118, 9076609700, 9076611364, 11169616122, 10844090816, 9076609473, 10011742882, 9076612865, 10045188273, 11169615768, 11368243053, 11169615815",311435,0.065,202.5,0.9,8
Irgibnnm Genetic Algorithm,"10844090763, 10844090760, 5597523695, 4274088189, 4602327638, 9076611364, 9076612865, 10011742882, 10844090816, 8917663690, 9076609782, 11110309010, 11169615690, 11169615746, 11169615815, 10045188268, 11169615920, 11304454314, 11169615723, 10961231400, 11304463593, 10045188273, 11169616122, 11304463413, 11368243053, 9076609473, 11169615768, 11304454329, 9076609118, 9076609700",286963,0.066,227.0,0.9,9
