Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"10720013762, 11304463338, 9076609785, 9804030455, 4780997097, 10836773978, 10844090817, 11304454360, 9786009561, 10844090978, 10844090864, 11205598096, 11169615993, 11175061946, 11304463370, 10784796849, 9076608725, 11169616120, 11304463616, 10045188269, 7792050787, 9866112763, 10578577138, 11169615928, 11169616066, 9930050442, 11281749984, 11304463573, 11169616146, 11134603790",481634,0.019,0.0,1.0,0
Simulated Annealing,"9076608725, 9930050442, 9804030455, 10578577138, 9866112763, 10844090817, 7792050787, 11175061946, 4780997097, 11169616120, 11205598096, 10720013762, 11281749984, 10045188269, 10784796849, 10836773978, 9076609785, 11304463370, 11304463573, 11304463616, 11169616066, 11169615928, 11304454360, 11134603790, 10844090864, 11169615993, 11304463338, 11169616146, 10844090978, 9786009561",454567,0.019,27.1,0.1333333333333333,1
Simulated Annealing,"11169615928, 11281749984, 11304463616, 11134603790, 11169615993, 11304463338, 11304463573, 10045188269, 9076609785, 11205598096, 10784796849, 9786009561, 10720013762, 9804030455, 10578577138, 11304454360, 11169616066, 9076608725, 9930050442, 11169616120, 10844090978, 9866112763, 10844090864, 7792050787, 10844090817, 11169616146, 4780997097, 11175061946, 11304463370, 10836773978",411720,0.019,69.9,0.9333333333333333,2
Simulated Annealing,"4780997097, 10784796849, 11304463616, 10045188269, 11134603790, 11281749984, 11169616146, 10578577138, 10720013762, 11304454360, 10844090978, 10844090817, 11169615993, 10836773978, 9930050442, 10844090864, 11175061946, 11304463338, 11169616120, 9076609785, 11169615928, 9866112763, 7792050787, 11304463370, 11304463573, 9076608725, 9804030455, 9786009561, 11205598096, 11169616066",449142,0.019,32.5,0.9,3
Simulated Annealing,"11169615993, 11304463370, 11304463338, 10844090978, 11169615928, 11175061946, 9076609785, 11169616066, 11304463616, 9076608725, 11169616120, 10045188269, 9866112763, 4780997097, 9930050442, 10578577138, 11205598096, 7792050787, 10844090864, 11304454360, 10784796849, 10720013762, 9786009561, 10836773978, 11304463573, 11169616146, 9804030455, 11281749984, 10844090817, 11134603790",408101,0.019,73.5,0.8666666666666667,4
Simulated Annealing,"11304463370, 9786009561, 11134603790, 9866112763, 11304463573, 10844090864, 10836773978, 11281749984, 11304454360, 11304463616, 9076609785, 11169615993, 11175061946, 11169616146, 11304463338, 10844090817, 10784796849, 9076608725, 10045188269, 9804030455, 11205598096, 11169615928, 11169616066, 10844090978, 10720013762, 11169616120, 10578577138, 9930050442, 7792050787, 4780997097",458931,0.019,22.7,0.1333333333333333,5
Simulated Annealing,"10844090817, 9804030455, 11304463616, 11304454360, 11169615993, 11304463338, 9930050442, 11169616066, 11169616120, 11304463573, 10836773978, 9786009561, 9866112763, 4780997097, 7792050787, 10844090864, 10578577138, 11169615928, 11169616146, 11281749984, 11205598096, 10720013762, 11175061946, 9076609785, 10045188269, 9076608725, 10844090978, 11134603790, 10784796849, 11304463370",461962,0.019,19.7,0.9666666666666667,6
Simulated Annealing,"10578577138, 7792050787, 9076608725, 10844090817, 10844090978, 10784796849, 11169615993, 10836773978, 9786009561, 11304454360, 11304463616, 11175061946, 11169616146, 11304463370, 9076609785, 11134603790, 9866112763, 10720013762, 11304463338, 11304463573, 11169615928, 11169616066, 11281749984, 10844090864, 11169616120, 11205598096, 10045188269, 4780997097, 9930050442, 9804030455",502872,0.019,-21.2,0.033333333333333326,7
Simulated Annealing,"10578577138, 11304454360, 4780997097, 11169616146, 10844090978, 9786009561, 9076608725, 11169615993, 11304463573, 11304463338, 9930050442, 11169616066, 9804030455, 10844090817, 10045188269, 10784796849, 11205598096, 10720013762, 11304463616, 11169615928, 9076609785, 11304463370, 10836773978, 11134603790, 11169616120, 11281749984, 7792050787, 10844090864, 11175061946, 9866112763",425585,0.019,56.0,0.06666666666666665,8
Simulated Annealing,"9930050442, 11304463338, 11134603790, 11169615928, 11175061946, 10844090817, 10720013762, 11281749984, 4780997097, 10045188269, 9786009561, 7792050787, 9076608725, 11304463370, 9076609785, 10844090978, 10784796849, 10844090864, 11304463573, 10836773978, 10578577138, 11304454360, 11169616120, 11169616146, 11304463616, 11169615993, 9804030455, 9866112763, 11169616066, 11205598096",520367,0.019,-38.7,0.8666666666666667,9
Genetic Algorithm,"4780997097, 9076608725, 11175061946, 11169615993, 11169616146, 10578577138, 9786009561, 11205598096, 9930050442, 11134603790, 9076609785, 11281749984, 10844090864, 7792050787, 11304463616, 9866112763, 10836773978, 11304463573, 11304463338, 11169616066, 10045188269, 9804030455, 11169616120, 11304463370, 10844090817, 10844090978, 11169615928, 11304454360, 10720013762, 10784796849",212804,0.056,268.8,0.9666666666666667,0
Genetic Algorithm,"4780997097, 11134603790, 11169615993, 11169616146, 10836773978, 11304463370, 11304463338, 11169616066, 11304463573, 11169616120, 9804030455, 10045188269, 10784796849, 11205598096, 11169615928, 11304454360, 10844090978, 10844090817, 10844090864, 11304463616, 9866112763, 7792050787, 9076609785, 11281749984, 9930050442, 11175061946, 10720013762, 10578577138, 9786009561, 9076608725",230439,0.056,251.2,0.9333333333333333,1
Genetic Algorithm,"4780997097, 11205598096, 10844090978, 11304454360, 10844090817, 11134603790, 10784796849, 10720013762, 9930050442, 11175061946, 11169616066, 9076609785, 11304463616, 9866112763, 11281749984, 10844090864, 7792050787, 11304463338, 10836773978, 11304463370, 11169616120, 9804030455, 10045188269, 11304463573, 11169615928, 11169615993, 9786009561, 9076608725, 10578577138, 11169616146",233873,0.056,247.8,0.033333333333333326,2
Genetic Algorithm,"4780997097, 9076608725, 9930050442, 11134603790, 11175061946, 11304463616, 9866112763, 10844090978, 10844090817, 11169615928, 11304454360, 10578577138, 7792050787, 11304463338, 11169616120, 9804030455, 10045188269, 10844090864, 11281749984, 9076609785, 10836773978, 11169616066, 11304463370, 11304463573, 10720013762, 10784796849, 11205598096, 9786009561, 11169615993, 11169616146",265819,0.057,215.8,0.9666666666666667,3
Genetic Algorithm,"4780997097, 11169615928, 10844090978, 11304454360, 9076608725, 10578577138, 11169615993, 11169616146, 11175061946, 11134603790, 11304463338, 10836773978, 11169616120, 9804030455, 10045188269, 11304463573, 11304463616, 7792050787, 10844090864, 11169616066, 11304463370, 11281749984, 9076609785, 9866112763, 9930050442, 10784796849, 11205598096, 10720013762, 10844090817, 9786009561",265354,0.056,216.3,0.06666666666666665,4
Genetic Algorithm,"4780997097, 11304454360, 11304463573, 10045188269, 9804030455, 10836773978, 11304463338, 11304463370, 11281749984, 9866112763, 11304463616, 7792050787, 9076609785, 10844090864, 9930050442, 11169616120, 11169616066, 11169615928, 10844090978, 10844090817, 11134603790, 11175061946, 11205598096, 10720013762, 10784796849, 11169616146, 11169615993, 10578577138, 9076608725, 9786009561",238807,0.056,242.8,0.9666666666666667,5
Genetic Algorithm,"4780997097, 9076608725, 11175061946, 11134603790, 10578577138, 9786009561, 11205598096, 10844090978, 10844090817, 11169615928, 9930050442, 10720013762, 10784796849, 11169616146, 11169615993, 11304454360, 11169616120, 9076609785, 10844090864, 11304463616, 9866112763, 7792050787, 11169616066, 11281749984, 11304463338, 11304463573, 10045188269, 9804030455, 11304463370, 10836773978",250782,0.055,230.9,0.06666666666666665,6
