Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"11304454358, 9866112775, 11304454354, 9076608523, 11304463562, 10844090983, 10840044592, 9851440294, 11169615730, 11210005069, 9076611333, 9866076537, 8769442167, 11169615654, 11169615750",237161,0.012,0.0,1.0,0
Simulated Annealing,"11169615750, 11169615730, 11304454354, 9851440294, 9076611333, 11304454358, 9866112775, 11210005069, 11169615654, 9866076537, 8769442167, 11304463562, 10844090983, 9076608523, 10840044592",223624,0.011,13.5,0.8666666666666667,1
Simulated Annealing,"9851440294, 10840044592, 9076608523, 11169615750, 8769442167, 11304454354, 11169615730, 11210005069, 9076611333, 10844090983, 11304463562, 9866076537, 11304454358, 9866112775, 11169615654",239975,0.011,-2.8,0.7333333333333333,2
Simulated Annealing,"11169615730, 9851440294, 11210005069, 11304463562, 11169615750, 11169615654, 8769442167, 10844090983, 11304454354, 9866076537, 9076608523, 9866112775, 10840044592, 11304454358, 9076611333",169510,0.012,67.7,0.9333333333333333,3
Simulated Annealing,"11169615730, 10844090983, 9076608523, 11304454354, 11210005069, 9076611333, 11304463562, 10840044592, 9866112775, 8769442167, 11304454358, 9866076537, 11169615654, 11169615750, 9851440294",217322,0.011,19.8,0.19999999999999996,4
Simulated Annealing,"9851440294, 8769442167, 11210005069, 9076611333, 9076608523, 9866076537, 11304454358, 11304454354, 10844090983, 9866112775, 11169615730, 11169615750, 10840044592, 11169615654, 11304463562",249246,0.011,-12.1,0.8666666666666667,5
Simulated Annealing,"11169615730, 8769442167, 11304454358, 11304463562, 11210005069, 9851440294, 9866112775, 10840044592, 11169615750, 9076611333, 9076608523, 11304454354, 11169615654, 10844090983, 9866076537",223830,0.011,13.3,0.7333333333333333,6
Simulated Annealing,"9866112775, 10840044592, 9076608523, 9076611333, 11169615654, 9851440294, 10844090983, 11304463562, 11304454354, 11304454358, 11169615750, 9866076537, 11210005069, 8769442167, 11169615730",237495,0.012,-0.3,0.1333333333333333,7
Simulated Annealing,"8769442167, 10840044592, 11210005069, 9851440294, 11304454354, 11169615654, 9866112775, 11169615750, 10844090983, 11169615730, 9866076537, 11304454358, 11304463562, 9076608523, 9076611333",240552,0.011,-3.4,1.0,8
Simulated Annealing,"11169615730, 11304463562, 11304454358, 10844090983, 11210005069, 8769442167, 11169615750, 11304454354, 9851440294, 11169615654, 10840044592, 9866112775, 9076611333, 9866076537, 9076608523",231104,0.011,6.1,0.06666666666666665,9
