id,lat,long,type,adress,total_volume,free_volume,purpose
9719863695,59.8378481,30.1058435,outpost,"Ozon, 175 с1, проспект Ветеранов, Новосергиево, округ Сосновая поляна, Санкт-Петербург, Северо-Западный федеральный округ, 198264, Россия",287,167,Ozon
11169553027,59.8699827,30.2605588,outpost,"86, проспект Стачек, Автово, округ Автово, Санкт-Петербург, Северо-Западный федеральный округ, 198096, Россия",337,185,Ozon
8846416770,59.8614339,30.3193323,outpost,"173, Московский проспект, округ Пулковский меридиан, Санкт-Петербург, Северо-Западный федеральный округ, 196066, Россия",217,86,Ozon
8762720855,59.8341086,30.3576295,outpost,"Ozon, 9 к1, Звёздная улица, округ Звёздное, Санкт-Петербург, Северо-Западный федеральный округ, 196142, Россия",467,244,Ozon
10543058026,59.8713971,30.3818547,parcel_locker,"ТК «Международный», 74 к3, Бухарестская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192242, Россия",23,19,Cainiao
10844090898,59.9145164,30.3184622,outpost,"Ozon, 40, Московский проспект, округ Семёновский, Санкт-Петербург, Северо-Западный федеральный округ, 198005, Россия",307,272,Ozon
11169615730,59.9347621,30.3367523,outpost,"3/54 литА, Малая Садовая улица, Дворцовый округ, Санкт-Петербург, Северо-Западный федеральный округ, 191023, Россия",369,306,Ozon
11304463563,59.9429775,30.2799929,outpost,"Ozon, 28/29, Средний проспект В.О., округ № 7, Санкт-Петербург, Северо-Западный федеральный округ, 199004, Россия",365,289,Ozon
11169615822,59.9984631,30.2185391,outpost,"Ozon, 24 к2, Яхтенная улица, Северо-Приморская часть, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197345, Россия",393,242,Ozon
9076613564,59.9623802,30.4318436,outpost,"5 к1, улица Маршала Тухачевского, округ Полюстрово, Санкт-Петербург, Северо-Западный федеральный округ, 195253, Россия",427,321,Ozon
10844090789,59.938423,30.477814,outpost,"11 к1, Индустриальный проспект, округ Пороховые, Санкт-Петербург, Северо-Западный федеральный округ, 195426, Россия",550,320,Ozon
10844090901,59.9469708,30.4839784,outpost,"Ozon, 5 к1, улица Осипенко, округ Пороховые, Санкт-Петербург, Северо-Западный федеральный округ, 195298, Россия",328,237,Ozon
11169615879,59.951304,30.497618,outpost,"32 к2, улица Коммуны, Пороховые, округ Ржевка, Санкт-Петербург, Северо-Западный федеральный округ, 195030, Россия",235,138,Ozon
10844090954,60.0108907,30.4806742,outpost,"16 к3, Муринская дорога, деревня Рыбацкое, округ Полюстрово, Санкт-Петербург, Северо-Западный федеральный округ, 195273, Россия",218,165,Ozon
9719863320,60.0325768,30.4491797,outpost,"12 к2, проспект Маршака, МО Полюстрово, деревня Новая, округ Полюстрово, Санкт-Петербург, Северо-Западный федеральный округ, 195113, Россия",372,258,Ozon
