id,lat,long,type,adress,total_volume,free_volume,purpose
9866112775,59.8315215,30.0961849,outpost,"7А, Интернациональная улица, Сергиево, округ Константиновское, Санкт-Петербург, Северо-Западный федеральный округ, 198218, Россия",506,299,Ozon
9076608523,59.8667324,30.159587,outpost,"Ozon, 56, Ленинский проспект, Южно-Приморский округ, Санкт-Петербург, Северо-Западный федеральный округ, 198335, Россия",180,140,Ozon
11304454354,59.8548892,30.2502633,outpost,"136 к2, проспект Стачек, округ Дачное, Санкт-Петербург, Северо-Западный федеральный округ, 198207, Россия",281,206,Ozon
9866076537,59.8595669,30.3032327,outpost,"49 к2, Новоизмайловский проспект, округ Новоизмайловское, Санкт-Петербург, Северо-Западный федеральный округ, 196191, Россия",409,342,Ozon
11169615750,59.824597,30.327483,outpost,"32 к2, Пулковское шоссе, округ Звёздное, Санкт-Петербург, Северо-Западный федеральный округ, 196158, Россия",436,245,Ozon
10840044592,59.8689659,30.3704381,outpost,"14 к1, Будапештская улица, округ Волковское, Санкт-Петербург, Северо-Западный федеральный округ, 192242, Россия",545,217,Яндекс.Маркет
11210005069,59.8586919,30.409082,outpost,"Wildberries, 51 к1, Южное шоссе, Александровский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192249, Россия",416,274,Wildberries
11304463562,59.8802528,30.4650777,outpost,"21 литЗ, Народная улица, Сосновка, Народный округ, Санкт-Петербург, Северо-Западный федеральный округ, 193079, Россия",396,204,Ozon
11169615654,59.9100172,30.3468293,outpost,"215, Лиговский проспект, Волково, округ Волковское, Санкт-Петербург, Северо-Западный федеральный округ, 192007, Россия",479,370,Ozon
11169615730,59.9347621,30.3367523,outpost,"3/54 литА, Малая Садовая улица, Дворцовый округ, Санкт-Петербург, Северо-Западный федеральный округ, 191023, Россия",369,306,Ozon
8769442167,59.9369049,30.2862261,outpost,"Wildberries, Яндекс Маркет, 3, 6-я линия В.О., округ № 7, Санкт-Петербург, Северо-Западный федеральный округ, 199004, Россия",404,258,"Wildberries, Яндекс Маркет"
10844090983,60.0280426,30.247086,outpost,"Ozon, проспект Королёва, округ Юнтолово, Санкт-Петербург, Северо-Западный федеральный округ, 197371, Россия",246,170,Ozon
11304454358,60.0122962,30.3875651,outpost,"22 к3, Гжатская улица, ЖК «Орбита», Гражданка, округ Академическое, Санкт-Петербург, Северо-Западный федеральный округ, 195220, Россия",366,196,Ozon
9076611333,59.9941925,30.43185,outpost,"74, проспект Непокорённых, станция Пискарёвка, Пискарёвка, округ Пискарёвка, Санкт-Петербург, Северо-Западный федеральный округ, 195273, Россия",170,89,Ozon
9851440294,59.946142,30.4987205,outpost,"Rostic`s, 30 к1 литБ, проспект Косыгина, округ Ржевка, Санкт-Петербург, Северо-Западный федеральный округ, 195298, Россия",386,289,Wildberries
