id,lat,long,type,adress,total_volume,free_volume,purpose
9076606253,59.992977,29.788096,outpost,"Ozon, 1/16, улица Комсомола, Кронштадт, Санкт-Петербург, Северо-Западный федеральный округ, 197762, Россия",268,165,Ozon
11169615702,60.0533249,30.3237301,outpost,"Народный, 14, улица Хошимина, 1-е Парголово, округ Шувалово-Озерки, Санкт-Петербург, Северо-Западный федеральный округ, 194355, Россия",350,300,Ozon
9076609456,60.044347,30.378962,outpost,"Ozon, 68 к1, проспект Просвещения, округ Северный, Санкт-Петербург, Северо-Западный федеральный округ, 195276, Россия",370,252,Ozon
9866076535,59.9823417,30.3581308,outpost,"Ozon, 12, Новолитовская улица, Выборгская сторона, округ Сампсониевское, Санкт-Петербург, Северо-Западный федеральный округ, 194100, Россия",408,167,Ozon
11169615699,59.9804396,30.5106908,outpost,"Ozon, Ржевская площадь, Ржевка, округ Ржевка, Санкт-Петербург, Северо-Западный федеральный округ, 195043, Россия",359,249,Ozon
10844090753,59.9233948,30.4537046,outpost,"Ozon, 14 к1, проспект Пятилеток, округ Правобережный, Санкт-Петербург, Северо-Западный федеральный округ, 193318, Россия",321,157,Ozon
11169616124,59.8418532,30.4960138,outpost,"17, Рыбацкий проспект, Рыбацкое, округ Рыбацкое, Санкт-Петербург, Северо-Западный федеральный округ, 192076, Россия",352,221,Ozon
9076608902,59.8441991,30.4086864,outpost,"Ozon, 124/56, Бухарестская улица, Александровский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192284, Россия",439,269,Ozon
9866076540,59.8283955,30.406495,outpost,"97 к2, Будапештская улица, Балканский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192283, Россия",512,221,Ozon
11281749983,59.86107,30.2545001,outpost,"87, проспект Стачек, округ Красненькая речка, Санкт-Петербург, Северо-Западный федеральный округ, 198096, Россия",316,196,Ozon
